,00_accX,00_accY,00_gyroZ,01_accX,01_accY,01_gyroZ,02_accX,02_accY,02_gyroZ,03_accX,03_accY,03_gyroZ,04_accX,04_accY,04_gyroZ,05_accX,05_accY,05_gyroZ,06_accX,06_accY,06_gyroZ,07_accX,07_accY,07_gyroZ,08_accX,08_accY,08_gyroZ,09_accX,09_accY,09_gyroZ,10_accX,10_accY,10_gyroZ,11_accX,11_accY,11_gyroZ,12_accX,12_accY,12_gyroZ,13_accX,13_accY,13_gyroZ,14_accX,14_accY,14_gyroZ,15_accX,15_accY,15_gyroZ,16_accX,16_accY,16_gyroZ,17_accX,17_accY,17_gyroZ,18_accX,18_accY,18_gyroZ,19_accX,19_accY,19_gyroZ,20_accX,20_accY,20_gyroZ,21_accX,21_accY,21_gyroZ,22_accX,22_accY,22_gyroZ,23_accX,23_accY,23_gyroZ,24_accX,24_accY,24_gyroZ,25_accX,25_accY,25_gyroZ,26_accX,26_accY,26_gyroZ,27_accX,27_accY,27_gyroZ,28_accX,28_accY,28_gyroZ,29_accX,29_accY,29_gyroZ,30_accX,30_accY,30_gyroZ,31_accX,31_accY,31_gyroZ,32_accX,32_accY,32_gyroZ,33_accX,33_accY,33_gyroZ,34_accX,34_accY,34_gyroZ,35_accX,35_accY,35_gyroZ,36_accX,36_accY,36_gyroZ,37_accX,37_accY,37_gyroZ,38_accX,38_accY,38_gyroZ,39_accX,39_accY,39_gyroZ,40_accX,40_accY,40_gyroZ,41_accX,41_accY,41_gyroZ,42_accX,42_accY,42_gyroZ,43_accX,43_accY,43_gyroZ,44_accX,44_accY,44_gyroZ,45_accX,45_accY,45_gyroZ,46_accX,46_accY,46_gyroZ,47_accX,47_accY,47_gyroZ,48_accX,48_accY,48_gyroZ,49_accX,49_accY,49_gyroZ,50_accX,50_accY,50_gyroZ,51_accX,51_accY,51_gyroZ,52_accX,52_accY,52_gyroZ,53_accX,53_accY,53_gyroZ,54_accX,54_accY,54_gyroZ,55_accX,55_accY,55_gyroZ,56_accX,56_accY,56_gyroZ,57_accX,57_accY,57_gyroZ,58_accX,58_accY,58_gyroZ,59_accX,59_accY,59_gyroZ,60_accX,60_accY,60_gyroZ,61_accX,61_accY,61_gyroZ,62_accX,62_accY,62_gyroZ,63_accX,63_accY,63_gyroZ,64_accX,64_accY,64_gyroZ,65_accX,65_accY,65_gyroZ,category
accX,0.0,-0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457875457875457,0.0,-0.7264957264957265,0.0,0.0,0.0,0.0,0.0,-1.2393162393162394,0.0,0.0,-0.8901098901098901,0.0,0.0,-0.7289377289377289,0.0,0.0,-0.5506715506715507,0.0,0.0,-0.6764346764346765,0.0,0.0,0.0,-0.5482295482295483,0.0,0.0,-0.6410256410256411,0.0,-0.6031746031746031,0.0,0.0,-1.1501831501831499,0.0,0.0,-1.3614163614163617,0.0,0.0,-1.8620268620268619,-0.7985347985347986,0.0,-1.9572649572649568,-0.6581196581196581,0.0,-1.8937728937728937,0.0,0.65625,-1.5115995115995116,0.0,0.78125,-0.978021978021978,-0.8168498168498168,0.8125,-0.8070818070818071,-1.021978021978022,0.875,0.0,-1.0451770451770452,0.96875,0.0,-1.0183150183150182,1.0,0.0,-0.8901098901098901,0.9375,0.0,-1.037851037851038,0.8125,0.0,-1.0122100122100122,0.78125,0.0,-0.5995115995115995,0.96875,0.0,-0.7936507936507936,0.96875,0.0,-0.984126984126984,0.75,0.0,-0.7814407814407814,0.5625,0.7545787545787546,0.0,0.0,0.5274725274725275,0.0,1.3125,1.3492063492063493,-0.7680097680097681,1.3125,1.1526251526251523,-0.6422466422466423,1.09375,1.2136752136752136,0.0,0.9375,1.1733821733821734,0.0,0.8125,1.2588522588522588,0.0,0.90625,0.8998778998778999,0.0,0.90625,1.4102564102564104,-0.5152625152625152,1.09375,1.6837606837606838,-0.8937728937728938,1.09375,1.9059829059829057,-0.6263736263736264,1.15625,1.757020757020757,0.0,0.96875,1.9242979242979243,0.0,0.84375,1.6715506715506716,0.0,0.65625,1.6398046398046398,0.0,0.625,1.656898656898657,0.0,0.53125,1.7032967032967032,0.0,0.0,1.2063492063492065,0.0,0.0,1.083028083028083,0.0,0.0,1.4175824175824177,0.0,0.0,1.028083028083028,-0.7411477411477412,0.0,0.0,0.0,0.0,1.3797313797313795,0.0,0.0,0.5543345543345544,0.0,0.0,0.0,0.0,0.0,0.0,-0.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2148962148962148,-0.6239316239316239,0.0,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5836385836385837,0.0,0.0,-0.9768009768009768,0.0,0.0,-1.0866910866910866,0.0,0.0,-1.1562881562881564,0.0,0.0,-1.9987789987789988,0.0,0.0,-2.21978021978022,0.0,0.0,-2.32967032967033,0.0,0.0,-2.3553113553113554,0.0,0.0,-2.2063492063492065,0.0,0.0,-2.245421245421245,-0.5201465201465202,0.0,-1.9108669108669107,-0.7020757020757019,0.0,-1.3894993894993894,-1.2503052503052503,0.71875,-1.1391941391941391,-1.3785103785103785,0.875,-0.5067155067155067,-1.8888888888888888,0.84375,0.0,-1.8253968253968251,0.65625,0.0,-1.424908424908425,0.71875,0.0,-1.336996336996337,1.0,0.0,-0.8669108669108669,1.09375,0.0,-0.5653235653235653,1.0625,0.0,0.0,0.8125,0.0,0.0,0.71875,0.0,0.0,1.0,0.0,0.0,1.09375,0.0,0.0,1.03125,0.0,0.0,0.9375,0.0,0.0,0.8125,0.0,0.0,0.6875,0.0,0.0,0.71875,0.8534798534798534,-0.706959706959707,1.03125,0.8095238095238095,0.0,0.96875,0.0,0.0,0.84375,0.6715506715506715,-0.6275946275946276,0.625,0.8656898656898657,-0.5372405372405372,0.6875,0.7948717948717948,-0.5946275946275946,0.84375,0.6166056166056166,-0.6153846153846154,0.875,0.8754578754578755,-0.9853479853479854,0.8125,0.7045177045177046,-0.8766788766788767,0.84375,0.8778998778998779,-0.7045177045177046,0.9375,1.6019536019536018,0.0,1.0625,1.7435897435897436,-0.5567765567765568,1.03125,1.4774114774114775,-0.9792429792429792,0.84375,0.9438339438339438,0.0,0.6875,1.192918192918193,0.0,0.65625,1.3479853479853479,0.0,0.59375,1.1782661782661783,0.0,0.0,1.1489621489621489,0.0,0.0,1.0366300366300367,0.0,0.0,0.557997557997558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5543345543345544,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7460317460317459,0.0,0.0,-0.8449328449328449,0.0,0.0,-1.3943833943833943,0.0,0.0,-1.6666666666666667,0.0,0.0,-1.9352869352869355,0.0,0.0,-2.056166056166056,0.0,0.0,-2.3956043956043955,0.0,0.0,-2.122100122100122,0.0,0.0,-1.84004884004884,0.0,0.0,-1.3137973137973138,0.0,0.5625,-1.1587301587301588,-0.6886446886446886,0.0,-0.873015873015873,-0.7887667887667887,0.5625,0.0,-0.8046398046398047,0.59375,0.0,-0.8266178266178266,0.78125,-0.5726495726495726,-0.706959706959707,0.78125,0.0,-0.8266178266178266,0.875,0.0,-0.7277167277167277,0.71875,0.0,-0.7802197802197802,0.90625,0.7032967032967034,-0.7533577533577533,0.96875,0.7081807081807082,-0.5286935286935287,1.0,0.7863247863247863,0.0,0.90625,1.126984126984127,0.0,0.6875,0.873015873015873,0.0,0.5625,0.63003663003663,-0.5152625152625152,0.625,0.6593406593406593,0.0,0.65625,0.6031746031746031,0.0,0.75,0.0,0.0,0.9375,0.0,0.0,1.03125,1.1343101343101345,-0.7924297924297924,1.15625,2.034188034188034,-1.3748473748473748,1.1875,1.8913308913308915,-1.2698412698412698,1.15625,1.5189255189255189,-1.0952380952380951,1.0625,1.3992673992673992,-0.8717948717948718,0.9375,1.083028083028083,0.0,0.90625,0.9755799755799756,0.0,0.96875,0.7594627594627594,0.0,0.90625,0.0,0.0,0.90625,0.0,-0.6703296703296703,0.8125,0.5335775335775336,0.0,0.8125,1.2942612942612943,0.0,0.90625,1.4920634920634919,-0.5775335775335775,0.84375,1.8937728937728937,0.0,0.75,2.142857142857143,0.0,0.65625,1.8693528693528692,0.0,0.0,1.5787545787545787,0.0,0.0,1.3846153846153846,0.0,0.0,1.065934065934066,0.0,0.0,0.8388278388278388,0.0,0.0,0.9413919413919414,0.0,0.0,0.6996336996336996,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6373626373626373,0.0,0.0,0.0,0.0,-1.1465201465201464,0.0,0.0,-1.0732600732600732,0.0,0.0,-0.7557997557997558,0.0,0.0,-0.7667887667887668,0.0,0.0,-0.5396825396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5811965811965812,0.65625,0.0,0.0,0.5625,0.5054945054945055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.6703296703296703,-1.0231990231990231,0.8125,0.0,-0.6495726495726496,0.71875,0.0,0.0,0.59375,0.0,0.0,0.59375,0.0,-0.7008547008547008,0.75,0.0,-0.5421245421245421,0.75,0.0,0.0,0.6875,0.0,0.0,0.8125,0.0,0.0,1.15625,0.0,0.0,1.0625,0.0,0.0,1.03125,0.0,0.0,0.84375,0.0,0.0,0.65625,0.0,0.0,0.65625,0.8095238095238095,-0.7655677655677655,0.78125,0.7814407814407814,-0.7875457875457875,0.75,0.0,0.0,0.65625,0.0,0.0,0.5625,0.956043956043956,-0.6275946275946276,0.75,1.2844932844932846,-0.6141636141636142,0.9375,0.6507936507936508,-0.5946275946275946,0.875,1.1733821733821734,0.0,0.90625,1.7692307692307692,0.0,1.0,1.6886446886446886,-0.6446886446886447,1.0625,1.6092796092796091,0.0,1.125,2.515262515262515,-0.5054945054945055,1.09375,2.9890109890109886,0.0,0.78125,2.95970695970696,0.0,0.65625,1.5677655677655675,0.0,0.5625,0.8998778998778999,0.0,0.53125,1.2967032967032968,0.0,0.0,1.242979242979243,0.0,0.0,0.8766788766788767,0.0,0.0,1.133089133089133,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6935286935286935,0.0,0.0,-0.73992673992674,-0.6605616605616605,0.0,0.0,0.0,0.0,-1.4065934065934067,0.0,0.0,-1.3040293040293038,0.0,0.0,-1.2014652014652014,0.0,0.0,-1.1684981684981686,-0.5409035409035409,0.0,-0.6971916971916972,0.0,0.0,-0.6935286935286935,0.0,0.0,-0.956043956043956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.71875,0.0,0.0,0.8125,0.0,0.0,0.71875,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,-0.7912087912087912,1.15625,0.7057387057387058,-1.2222222222222223,1.15625,0.7704517704517705,-0.6288156288156288,1.0,0.5433455433455433,-0.5702075702075702,0.8125,0.0,-0.7277167277167277,0.71875,1.0073260073260073,-0.7032967032967034,0.8125,1.0,-0.5958485958485958,0.6875,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.7557997557997558,0.0,0.59375,1.2808302808302807,0.0,0.6875,1.8620268620268619,-0.7338217338217338,0.90625,3.0488400488400487,-1.9352869352869355,1.28125,3.4615384615384617,-2.094017094017094,1.25,3.3406593406593412,-1.6288156288156288,1.03125,3.175824175824176,-1.0329670329670328,0.875,2.937728937728938,-0.6129426129426129,0.84375,2.15995115995116,0.0,0.84375,1.7484737484737485,-0.5238095238095238,0.78125,1.827838827838828,0.0,0.75,1.6068376068376071,0.0,0.75,1.5274725274725274,0.0,0.75,1.9511599511599511,0.0,0.6875,1.8327228327228329,0.0,0.59375,2.095238095238096,0.0,0.59375,2.1904761904761907,0.0,0.0,2.1855921855921854,0.0,0.0,1.9975579975579976,0.0,0.0,2.275946275946276,-0.6483516483516484,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7985347985347986,0.0,0.0,-0.9157509157509156,0.0,0.0,-0.6068376068376068,0.0,0.0,-0.8778998778998779,0.0,0.0,-0.5921855921855922,0.0,0.0,-0.525030525030525,0.0,0.0,0.0,0.0,0.59375,0.0,-0.6666666666666666,0.5625,0.0,-0.7594627594627594,0.5625,0.0,0.0,0.75,0.0,0.0,0.78125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.875,0.0,0.0,0.9375,0.0,0.0,0.9375,0.5115995115995116,0.0,0.9375,0.7692307692307693,0.0,0.875,0.0,0.0,0.9375,0.6581196581196581,0.0,0.875,0.7130647130647131,0.0,0.65625,0.5665445665445665,0.0,0.0,0.6984126984126984,0.0,0.0,1.1391941391941391,0.0,0.53125,0.8412698412698413,0.0,0.0,0.7130647130647131,0.0,0.0,1.6813186813186811,-0.6361416361416361,0.625,1.695970695970696,-0.63003663003663,0.71875,1.5335775335775337,0.0,0.84375,1.8901098901098898,-0.5909645909645911,0.9375,2.5506715506715505,-1.2271062271062272,0.96875,2.1416361416361416,-0.6910866910866911,0.875,1.9096459096459095,0.0,0.875,1.8131868131868127,0.0,0.75,1.4468864468864469,0.0,0.75,1.5921855921855919,0.0,0.84375,1.938949938949939,0.0,0.84375,1.8669108669108667,0.0,0.71875,1.9304029304029304,0.0,0.625,2.241758241758242,0.0,0.0,2.311355311355311,0.0,0.0,2.0366300366300365,0.0,0.0,2.031746031746032,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5677655677655677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5995115995115995,0.0,0.0,-0.7338217338217338,0.0,0.0,-0.7655677655677655,0.0,0.0,-0.8424908424908425,0.0,0.0,-0.6776556776556777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6336996336996337,0.5625,0.0,0.0,0.59375,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0,0.84375,0.0,0.0,0.84375,0.0,0.0,0.78125,0.0,0.0,0.5625,0.0,0.0,0.5625,0.0,0.0,0.78125,0.0,0.0,0.8125,0.0,0.0,0.71875,0.6874236874236874,-0.5518925518925519,0.59375,0.956043956043956,-0.6605616605616605,0.5625,0.989010989010989,-0.6227106227106227,0.59375,0.8693528693528694,-0.6837606837606838,0.5625,0.0,0.0,0.0,0.5494505494505495,0.0,0.0,1.5946275946275947,0.0,0.0,2.326007326007326,-0.6727716727716728,0.5625,1.8351648351648349,0.0,0.6875,1.175824175824176,0.0,0.8125,1.1562881562881564,0.0,0.84375,0.5946275946275946,0.0,0.78125,0.5128205128205128,0.0,0.9375,0.7509157509157509,0.0,1.09375,0.6642246642246642,-0.5384615384615384,1.0625,0.0,0.0,1.0,0.6715506715506715,0.0,1.0,0.9438339438339438,0.0,1.03125,1.514041514041514,-0.5543345543345544,1.0625,1.4810744810744811,-0.6434676434676435,0.90625,1.4822954822954824,0.0,0.71875,1.6483516483516485,0.0,0.5625,1.4945054945054943,0.0,0.0,1.5262515262515262,0.0,0.0,1.3003663003663004,0.0,0.0,1.1184371184371185,0.0,0.0,1.0305250305250304,0.0,0.0,1.0671550671550671,0.0,0.0,1.1978021978021978,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,-0.5726495726495726,0.0,0.0,-0.5152625152625152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6544566544566545,0.0,0.0,-0.663003663003663,0.0,0.0,-0.6275946275946276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.59375,0.0,0.0,0.59375,0.0,0.5225885225885226,0.0,-0.5982905982905983,0.7277167277167277,0.5625,0.0,0.0,0.96875,0.5702075702075702,0.0,0.96875,0.7802197802197802,-0.7753357753357754,0.96875,0.7484737484737485,-0.8424908424908425,0.78125,0.0,0.0,0.53125,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,-0.5079365079365079,0.0,0.0,0.0,0.0,-0.7973137973137974,0.0,0.59375,-0.568986568986569,0.0,0.71875,0.7619047619047619,-0.8644688644688645,0.9375,1.884004884004884,-1.6507936507936507,1.09375,2.417582417582417,-1.6336996336996337,1.09375,2.227106227106227,-1.2307692307692308,1.03125,2.5763125763125765,-1.1306471306471306,1.0625,3.3272283272283274,-1.21001221001221,1.125,3.091575091575092,-1.0598290598290598,1.0,2.8754578754578755,-0.7448107448107448,0.96875,2.793650793650793,0.0,0.96875,2.656898656898657,0.0,1.03125,2.8998778998779,-0.5445665445665445,1.0,2.5396825396825395,-0.7545787545787546,0.71875,2.3736263736263736,-0.5848595848595849,0.53125,2.728937728937729,0.0,0.0,2.2796092796092795,0.0,0.0,1.6776556776556777,0.0,0.0,1.380952380952381,0.0,0.0,1.0671550671550671,0.0,0.0,1.2344322344322345,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,0.0,0.0,0.0,-0.6385836385836385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5897435897435898,0.0,0.0,-0.5714285714285714,0.0,-0.6959706959706959,0.0,0.0,-1.0879120879120878,0.0,0.0,-0.63003663003663,0.0,0.0,-0.6849816849816851,0.0,0.0,-0.5995115995115995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.71875,0.0,0.0,0.71875,0.0,0.0,0.59375,0.0,0.0,0.53125,0.0,0.0,0.6875,0.0,0.0,0.71875,0.0,0.0,0.6875,0.0,0.0,0.6875,0.0,0.0,0.9375,0.6105006105006106,-0.5372405372405372,1.03125,0.6336996336996337,-0.7057387057387058,1.0,0.0,-0.6678876678876678,0.78125,0.0,0.0,0.625,0.0,0.0,0.75,0.7326007326007326,-0.7435897435897436,0.90625,1.6544566544566544,-1.286935286935287,1.1875,1.7008547008547008,-1.6984126984126984,1.125,0.7680097680097681,-1.1538461538461535,0.875,0.6178266178266179,0.0,0.875,0.0,0.0,0.78125,0.0,0.0,0.6875,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.5625,0.8571428571428571,-1.0134310134310134,0.6875,2.0354090354090357,-1.4578754578754578,0.75,2.117216117216117,-1.338217338217338,0.6875,1.3394383394383391,-0.7240537240537241,0.6875,1.271062271062271,0.0,0.78125,2.3626373626373627,-0.9377289377289376,0.84375,2.358974358974359,-0.8840048840048841,0.75,1.956043956043956,-1.0097680097680095,0.625,1.565323565323565,-0.5433455433455433,0.53125,1.7472527472527473,0.0,0.5625,2.2466422466422467,0.0,0.53125,2.2051282051282053,0.0,0.0,1.6031746031746033,0.0,0.0,1.072039072039072,0.0,0.0,1.0293040293040292,0.0,0.0,0.6471306471306472,0.0,0.0,0.6593406593406593,-0.5457875457875457,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
accX,0.0,-0.5006105006105006,0.0,-0.568986568986569,0.0,0.0,0.0,0.0,0.0,-0.7680097680097681,0.0,0.0,-0.5177045177045178,0.0,0.0,-0.5775335775335775,0.0,0.0,-1.0390720390720392,0.0,0.0,-1.094017094017094,0.0,0.0,-0.9877899877899878,0.0,0.0,-0.5897435897435898,0.0,0.0,-0.9487179487179488,0.0,0.0,-1.3504273504273503,0.0,0.0,-1.0854700854700854,0.0,0.0,-0.7753357753357754,0.0,0.53125,0.0,-0.5616605616605617,0.5625,0.0,-0.7557997557997558,0.0,0.0,-0.8168498168498168,0.90625,0.6043956043956044,-1.3162393162393162,1.03125,0.8791208791208791,-1.0695970695970696,1.0625,1.061050061050061,-1.0488400488400489,0.90625,0.6556776556776557,-0.6080586080586079,0.65625,0.6898656898656899,0.0,0.8125,1.3040293040293038,-0.818070818070818,1.1875,1.123321123321123,-0.6031746031746031,1.25,0.9694749694749696,-0.5103785103785103,1.15625,0.8107448107448108,0.0,1.03125,0.7667887667887668,0.0,0.96875,0.0,0.0,1.03125,0.0,0.0,0.90625,0.0,0.0,0.8125,0.9352869352869352,-0.7997557997557998,0.625,0.9426129426129426,-0.6556776556776557,0.625,0.6874236874236874,-0.6361416361416361,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.8424908424908425,-0.5811965811965812,0.0,1.3284493284493284,-0.5982905982905983,0.0,0.8253968253968254,0.0,0.0,0.5372405372405372,0.0,0.625,0.0,0.0,0.78125,0.6446886446886447,-0.5665445665445665,0.90625,1.0708180708180708,-0.7704517704517705,0.8125,0.6678876678876678,0.0,0.8125,0.0,0.0,0.75,0.8778998778998779,0.0,0.71875,1.3516483516483515,0.0,0.6875,1.1611721611721613,0.0,0.5625,1.0683760683760684,0.0,0.0,1.0757020757020757,0.0,0.0,0.8681318681318682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movePosX2D
