,00_accX,00_accY,00_accZ,00_gyroX,00_gyroY,00_gyroZ,01_accX,01_accY,01_accZ,01_gyroX,01_gyroY,01_gyroZ,02_accX,02_accY,02_accZ,02_gyroX,02_gyroY,02_gyroZ,03_accX,03_accY,03_accZ,03_gyroX,03_gyroY,03_gyroZ,04_accX,04_accY,04_accZ,04_gyroX,04_gyroY,04_gyroZ,05_accX,05_accY,05_accZ,05_gyroX,05_gyroY,05_gyroZ,06_accX,06_accY,06_accZ,06_gyroX,06_gyroY,06_gyroZ,07_accX,07_accY,07_accZ,07_gyroX,07_gyroY,07_gyroZ,08_accX,08_accY,08_accZ,08_gyroX,08_gyroY,08_gyroZ,09_accX,09_accY,09_accZ,09_gyroX,09_gyroY,09_gyroZ,10_accX,10_accY,10_accZ,10_gyroX,10_gyroY,10_gyroZ,11_accX,11_accY,11_accZ,11_gyroX,11_gyroY,11_gyroZ,12_accX,12_accY,12_accZ,12_gyroX,12_gyroY,12_gyroZ,13_accX,13_accY,13_accZ,13_gyroX,13_gyroY,13_gyroZ,14_accX,14_accY,14_accZ,14_gyroX,14_gyroY,14_gyroZ,15_accX,15_accY,15_accZ,15_gyroX,15_gyroY,15_gyroZ,16_accX,16_accY,16_accZ,16_gyroX,16_gyroY,16_gyroZ,17_accX,17_accY,17_accZ,17_gyroX,17_gyroY,17_gyroZ,18_accX,18_accY,18_accZ,18_gyroX,18_gyroY,18_gyroZ,19_accX,19_accY,19_accZ,19_gyroX,19_gyroY,19_gyroZ,20_accX,20_accY,20_accZ,20_gyroX,20_gyroY,20_gyroZ,21_accX,21_accY,21_accZ,21_gyroX,21_gyroY,21_gyroZ,22_accX,22_accY,22_accZ,22_gyroX,22_gyroY,22_gyroZ,23_accX,23_accY,23_accZ,23_gyroX,23_gyroY,23_gyroZ,24_accX,24_accY,24_accZ,24_gyroX,24_gyroY,24_gyroZ,25_accX,25_accY,25_accZ,25_gyroX,25_gyroY,25_gyroZ,26_accX,26_accY,26_accZ,26_gyroX,26_gyroY,26_gyroZ,27_accX,27_accY,27_accZ,27_gyroX,27_gyroY,27_gyroZ,28_accX,28_accY,28_accZ,28_gyroX,28_gyroY,28_gyroZ,29_accX,29_accY,29_accZ,29_gyroX,29_gyroY,29_gyroZ,30_accX,30_accY,30_accZ,30_gyroX,30_gyroY,30_gyroZ,31_accX,31_accY,31_accZ,31_gyroX,31_gyroY,31_gyroZ,32_accX,32_accY,32_accZ,32_gyroX,32_gyroY,32_gyroZ,33_accX,33_accY,33_accZ,33_gyroX,33_gyroY,33_gyroZ,34_accX,34_accY,34_accZ,34_gyroX,34_gyroY,34_gyroZ,35_accX,35_accY,35_accZ,35_gyroX,35_gyroY,35_gyroZ,36_accX,36_accY,36_accZ,36_gyroX,36_gyroY,36_gyroZ,37_accX,37_accY,37_accZ,37_gyroX,37_gyroY,37_gyroZ,38_accX,38_accY,38_accZ,38_gyroX,38_gyroY,38_gyroZ,39_accX,39_accY,39_accZ,39_gyroX,39_gyroY,39_gyroZ,40_accX,40_accY,40_accZ,40_gyroX,40_gyroY,40_gyroZ,41_accX,41_accY,41_accZ,41_gyroX,41_gyroY,41_gyroZ,42_accX,42_accY,42_accZ,42_gyroX,42_gyroY,42_gyroZ,43_accX,43_accY,43_accZ,43_gyroX,43_gyroY,43_gyroZ,44_accX,44_accY,44_accZ,44_gyroX,44_gyroY,44_gyroZ,45_accX,45_accY,45_accZ,45_gyroX,45_gyroY,45_gyroZ,46_accX,46_accY,46_accZ,46_gyroX,46_gyroY,46_gyroZ,47_accX,47_accY,47_accZ,47_gyroX,47_gyroY,47_gyroZ,48_accX,48_accY,48_accZ,48_gyroX,48_gyroY,48_gyroZ,49_accX,49_accY,49_accZ,49_gyroX,49_gyroY,49_gyroZ,50_accX,50_accY,50_accZ,50_gyroX,50_gyroY,50_gyroZ,51_accX,51_accY,51_accZ,51_gyroX,51_gyroY,51_gyroZ,52_accX,52_accY,52_accZ,52_gyroX,52_gyroY,52_gyroZ,53_accX,53_accY,53_accZ,53_gyroX,53_gyroY,53_gyroZ,54_accX,54_accY,54_accZ,54_gyroX,54_gyroY,54_gyroZ,55_accX,55_accY,55_accZ,55_gyroX,55_gyroY,55_gyroZ,56_accX,56_accY,56_accZ,56_gyroX,56_gyroY,56_gyroZ,57_accX,57_accY,57_accZ,57_gyroX,57_gyroY,57_gyroZ,58_accX,58_accY,58_accZ,58_gyroX,58_gyroY,58_gyroZ,59_accX,59_accY,59_accZ,59_gyroX,59_gyroY,59_gyroZ,60_accX,60_accY,60_accZ,60_gyroX,60_gyroY,60_gyroZ,61_accX,61_accY,61_accZ,61_gyroX,61_gyroY,61_gyroZ,62_accX,62_accY,62_accZ,62_gyroX,62_gyroY,62_gyroZ,63_accX,63_accY,63_accZ,63_gyroX,63_gyroY,63_gyroZ,64_accX,64_accY,64_accZ,64_gyroX,64_gyroY,64_gyroZ,65_accX,65_accY,65_accZ,65_gyroX,65_gyroY,65_gyroZ,66_accX,66_accY,66_accZ,66_gyroX,66_gyroY,66_gyroZ,67_accX,67_accY,67_accZ,67_gyroX,67_gyroY,67_gyroZ,68_accX,68_accY,68_accZ,68_gyroX,68_gyroY,68_gyroZ,69_accX,69_accY,69_accZ,69_gyroX,69_gyroY,69_gyroZ,70_accX,70_accY,70_accZ,70_gyroX,70_gyroY,70_gyroZ,71_accX,71_accY,71_accZ,71_gyroX,71_gyroY,71_gyroZ,72_accX,72_accY,72_accZ,72_gyroX,72_gyroY,72_gyroZ,73_accX,73_accY,73_accZ,73_gyroX,73_gyroY,73_gyroZ,74_accX,74_accY,74_accZ,74_gyroX,74_gyroY,74_gyroZ,75_accX,75_accY,75_accZ,75_gyroX,75_gyroY,75_gyroZ,76_accX,76_accY,76_accZ,76_gyroX,76_gyroY,76_gyroZ,77_accX,77_accY,77_accZ,77_gyroX,77_gyroY,77_gyroZ,78_accX,78_accY,78_accZ,78_gyroX,78_gyroY,78_gyroZ,79_accX,79_accY,79_accZ,79_gyroX,79_gyroY,79_gyroZ,category
accX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rotateRight
accX,0.0,-0.9309999999999999,-0.6859999999999999,0.0,0.0,0.0,0.536,-0.667,-1.052,0.0,0.0,0.0,0.551,0.0,-0.902,0.0,0.0,0.0,0.69,0.0,-0.727,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.575,-1.113,-0.5920000000000001,0.0,0.0,0.0,0.0,-1.295,-0.544,0.0,0.0,0.0,0.0,-1.081,0.0,0.0,0.0,0.0,0.0,-0.767,0.0,0.0,0.0,0.0,-0.531,0.0,0.0,0.0,0.0,0.0,-0.515,-0.619,0.0,0.0,0.0,0.0,-0.527,-0.975,0.0,0.0,0.0,0.0,0.0,-0.594,0.0,0.0,0.0,0.0,0.0,0.0,-0.546,0.0,0.0,0.0,0.0,0.0,-0.612,0.0,0.0,0.0,0.0,-0.503,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-3.883,-1.6640000000000001,0.0,-0.6729999999999999,0.0,0.0,-2.127,-2.541,0.0,0.0,0.0,0.0,-0.8370000000000001,-3.44,0.0,0.0,0.0,0.0,0.0,-2.766,0.0,0.0,0.0,0.0,0.0,-1.808,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,-1.168,0.0,0.0,0.0,0.0,0.0,-0.985,0.0,0.0,0.0,0.0,0.0,-1.023,0.0,0.0,0.0,0.0,0.0,-1.226,0.0,0.0,0.0,0.0,0.0,-1.082,0.0,0.0,0.0,0.0,-0.7609999999999999,-0.902,0.0,0.0,0.0,0.0,0.0,-0.977,0.0,0.0,0.0,0.0,0.0,-1.1159999999999999,0.0,0.0,0.0,0.0,0.0,-0.8909999999999999,0.0,0.0,0.0,0.0,0.0,-0.529,0.0,0.0,0.0,0.0,-0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-1.485,-3.615,0.636,-0.623,0.0,0.0,-0.552,-3.173,0.7070000000000001,0.0,0.0,0.0,-0.758,-3.361,0.0,0.0,0.0,0.0,0.0,-2.745,0.0,0.0,0.0,0.0,0.0,-2.209,0.0,0.0,0.0,0.0,0.0,-1.5119999999999998,0.58,0.0,0.0,0.0,0.0,-1.301,0.0,0.0,0.0,0.0,0.62,-1.268,0.0,0.0,0.0,0.0,0.0,-0.993,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,0.0,0.0,0.0,0.0,-0.544,0.0,0.0,0.0,0.0,-0.5760000000000001,-0.551,-0.6920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-2.0909999999999997,-3.0269999999999997,0.0,-0.777,0.0,0.0,-1.5290000000000001,-2.2640000000000002,0.616,0.0,0.0,0.0,-0.8220000000000001,-2.4090000000000003,0.0,0.0,0.0,0.0,-0.7240000000000001,-2.34,0.0,0.0,0.0,0.0,0.0,-1.641,0.0,0.0,0.0,0.0,0.0,-1.8019999999999998,0.0,0.0,0.0,0.0,0.0,-1.4769999999999999,0.0,0.0,0.0,0.0,0.0,-1.3769999999999998,0.0,0.0,0.0,0.0,0.0,-1.3530000000000002,0.0,0.0,0.0,0.0,0.0,-1.113,0.0,0.0,0.0,0.0,0.0,-1.158,0.0,0.0,0.0,0.0,0.0,-0.937,0.0,0.0,0.0,0.0,0.0,-0.941,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,0.0,-1.395,0.0,0.0,-0.565,0.0,-0.5710000000000001,-1.173,0.0,0.0,0.0,0.0,0.0,-0.956,0.0,0.0,0.0,0.0,0.0,-0.8640000000000001,0.0,0.0,0.0,0.0,0.0,-0.94,0.0,0.0,0.0,0.0,0.0,-1.055,-0.5920000000000001,0.0,0.0,0.0,0.0,-0.87,-0.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.619,0.0,0.0,0.0,0.0,0.0,-0.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.504,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-0.968,-0.863,0.525,0.0,0.0,0.0,-0.631,-1.462,0.0,0.0,0.0,0.0,0.0,-1.426,0.0,0.0,0.0,0.0,0.7929999999999999,-1.594,0.0,0.0,0.0,0.0,0.7340000000000001,-1.1079999999999999,0.536,0.0,0.0,0.0,0.5539999999999999,-1.001,0.0,0.0,0.0,0.0,0.637,-1.069,0.0,0.0,0.0,0.0,0.0,-1.119,0.0,0.0,0.0,0.0,0.0,-0.9990000000000001,0.0,0.0,0.0,0.0,0.0,-1.125,0.0,0.0,0.0,0.0,0.0,-1.0070000000000001,0.0,0.0,0.0,0.0,0.0,-0.7040000000000001,0.0,0.0,0.0,0.0,0.0,-0.529,0.0,0.0,0.0,0.0,0.0,-0.6759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-1.9780000000000002,-3.509,0.632,0.0,0.0,0.0,-1.551,-3.2239999999999998,0.872,0.0,0.0,0.0,-1.036,-2.935,0.9079999999999999,0.0,0.0,0.0,0.0,-2.162,1.13,0.0,0.0,0.0,0.0,-1.6019999999999999,0.754,0.0,-0.524,0.0,0.0,-0.915,0.0,0.0,0.0,0.0,0.0,-1.6880000000000002,-0.7190000000000001,0.0,0.0,0.0,0.0,-1.181,0.0,0.0,0.0,0.0,0.0,-0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.805,-0.5329999999999999,0.0,0.0,0.0,0.0,-0.7809999999999999,-0.5870000000000001,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,0.0,-0.792,0.0,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,-0.508,-0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-1.986,-1.564,1.705,0.0,0.0,0.0,-1.673,-1.5590000000000002,0.9540000000000001,0.0,0.0,0.0,-1.275,-1.6269999999999998,0.0,0.0,0.0,0.0,-0.511,-1.474,0.0,0.0,0.0,0.0,0.0,-1.0659999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.627,0.0,0.0,0.0,0.0,-0.9640000000000001,-1.25,0.0,0.0,0.0,0.0,-0.754,-0.9990000000000001,0.0,0.0,0.0,0.0,-0.754,-0.66,0.0,0.0,0.0,0.0,-0.614,0.0,0.0,0.0,0.0,0.0,-0.6859999999999999,0.0,0.0,0.0,0.0,0.0,-0.8190000000000001,0.0,0.0,0.0,0.0,0.0,-0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
accX,-1.446,-1.6569999999999998,0.0,0.0,0.0,0.0,-0.951,-1.764,0.0,0.0,0.0,0.0,-0.894,-2.031,0.0,0.0,0.0,0.0,-0.8640000000000001,-2.22,0.0,0.0,0.0,0.0,0.0,-1.972,0.0,0.0,0.0,0.0,0.0,-1.655,0.0,0.0,0.0,0.0,0.0,-1.2309999999999999,0.0,0.0,0.0,0.0,0.0,-0.83,0.0,0.0,0.0,0.0,0.0,-1.0959999999999999,0.0,0.0,0.0,0.0,0.0,-1.136,0.0,0.0,0.0,0.0,0.0,-0.976,0.0,0.0,0.0,0.0,0.0,-0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7659999999999999,0.0,0.0,0.0,0.0,0.0,-0.966,0.0,0.0,0.0,0.0,0.0,-0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateRight
