timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
8794, -3.888888888888889, 3.993894993894994, 4.257631257631258, -2.03125, -7.0625, -1.25, 0.0
8795, -3.7667887667887667, 3.15995115995116, 3.3736263736263736, -1.25, -5.6875, -1.40625, 0.0
8796, -3.2612942612942613, 2.288156288156288, 2.7826617826617825, -0.65625, -4.65625, -1.28125, 0.0
1, -1.9853479853479854, 1.6312576312576312, 2.1965811965811968, -0.3125, -4.3125, -1.03125, 0.0
2, -0.2771672771672772, 0.7741147741147741, 1.7533577533577533, -0.34375, -4.90625, -0.625, 0.0
3, 0.2503052503052503, 0.0463980463980464, 1.3467643467643469, -0.625, -5.4375, -0.75, 0.0
4, 0.25518925518925517, -0.7252747252747253, 1.0525030525030525, -1.15625, -5.90625, -1.125, 0.0
5, -1.4542124542124542, 0.2564102564102564, 1.1086691086691087, -1.28125, -5.75, -1.34375, 0.0
6, -3.0097680097680097, 1.971916971916972, 0.6214896214896215, -0.75, -4.65625, -1.21875, 0.0
7, -3.960927960927961, 3.266178266178266, -0.8595848595848596, 0.03125, -3.3125, -0.5625, 0.0
8, -5.135531135531136, 3.2515262515262515, -1.9975579975579976, 0.75, -1.53125, 0.25, 0.0
9, -3.664224664224664, 2.0720390720390722, -2.7252747252747254, 1.0625, -0.21875, 0.875, 0.0
10, 0.9181929181929182, 0.20757020757020758, -1.547008547008547, 0.625, 0.0625, 1.0625, 0.0
11, 1.4554334554334554, 0.34676434676434675, -1.037851037851038, 0.3125, -0.71875, 0.84375, 0.0
12, 0.9816849816849816, 0.8473748473748474, -1.0512820512820513, 0.21875, -1.59375, 0.625, 0.0
13, -0.78998778998779, 0.36752136752136755, -1.901098901098901, 0.25, -1.90625, 0.40625, 0.0
14, -1.3956043956043955, 0.5115995115995116, -2.3174603174603177, 0.1875, -1.40625, 0.3125, 0.0
15, -1.4114774114774116, 0.8974358974358975, -2.1465201465201464, 0.21875, -0.65625, 0.5, 0.0
16, -0.5482295482295483, 1.2185592185592184, -1.735042735042735, 0.5, -0.0625, 0.6875, 0.0
17, -0.0757020757020757, 1.1575091575091576, -1.10989010989011, 0.78125, 0.125, 0.8125, 0.0
18, 0.3614163614163614, 0.5115995115995116, -1.10989010989011, 0.875, 0.125, 0.84375, 0.0
19, 0.3601953601953602, 0.05372405372405373, -1.6996336996336996, 0.6875, 0.09375, 0.65625, 0.0
20, 0.5714285714285714, -0.05128205128205128, -1.9609279609279608, 0.40625, 0.0625, 0.5, 0.0
21, 0.4346764346764347, 0.26373626373626374, -1.6984126984126984, 0.0625, -0.03125, 0.3125, 0.0
22, 0.2039072039072039, 0.5616605616605617, -1.4615384615384615, 0.03125, -0.0625, 0.25, 0.0
23, -0.15506715506715507, 0.4700854700854701, -1.4017094017094016, 0.0625, 0.0, 0.1875, 0.0
24, -0.24175824175824176, 0.24053724053724054, -1.4371184371184371, 0.1875, 0.0625, 0.21875, 0.0
25, -0.6324786324786325, -1.26007326007326, -1.8278388278388278, 0.0, 0.15625, 0.0, 0.0
26, -1.9914529914529915, -0.4481074481074481, -2.462759462759463, -0.375, 0.3125, 0.3125, 0.0
27, -1.5335775335775337, 0.8742368742368742, -0.47619047619047616, -0.25, 0.28125, 0.25, 0.0
28, -2.6092796092796093, 0.9108669108669109, -1.2564102564102564, -0.1875, 0.6875, 0.0625, 0.0
29, 1.4700854700854702, -2.266178266178266, 0.0695970695970696, -0.5625, 0.125, -0.34375, 0.0
30, 3.518925518925519, -1.6642246642246643, 0.28815628815628813, -1.3125, -0.75, -0.25, 0.0
31, 1.8156288156288156, -1.6800976800976801, 0.6141636141636142, -1.53125, -0.96875, -0.09375, 0.0
32, -0.3028083028083028, -1.1196581196581197, 0.6495726495726496, -1.28125, -0.21875, -0.28125, 0.0
33, -0.3064713064713065, -0.9426129426129426, 0.5457875457875457, -0.90625, 1.0, -0.5625, 0.0
34, 1.5152625152625152, 0.08180708180708181, 1.768009768009768, -0.625, 1.21875, -0.59375, 0.0
35, 1.5616605616605617, 0.22954822954822954, 1.8998778998778998, -0.34375, 0.8125, -0.375, 0.0
36, 0.6568986568986569, 0.5299145299145299, 1.4151404151404152, -0.0625, 0.5625, -0.34375, 0.0
37, 0.5006105006105006, 0.0927960927960928, 0.26495726495726496, 0.15625, 0.3125, -0.59375, 0.0
38, 1.1611721611721613, -0.7057387057387058, -0.1746031746031746, 0.15625, 0.46875, -0.84375, 0.0
39, 0.047619047619047616, -0.3137973137973138, -0.06227106227106227, -0.1875, 0.46875, -0.78125, 0.0
40, -0.5323565323565324, -0.38095238095238093, 0.4835164835164835, -0.34375, 0.625, -0.6875, 0.0
41, -0.7057387057387058, -0.06105006105006105, 0.8192918192918193, -0.3125, 0.78125, -0.53125, 0.0
42, -0.29304029304029305, 0.06227106227106227, 0.6434676434676435, 0.0625, 0.875, -0.34375, 0.0
43, -0.23931623931623933, 0.10378510378510379, 0.2490842490842491, 0.53125, 0.84375, -0.3125, 0.0
44, -0.15995115995115994, 0.3711843711843712, -0.6923076923076923, 0.875, 0.84375, -0.125, 0.0
45, 0.28815628815628813, 0.5262515262515263, -2.0732600732600734, 1.09375, 0.59375, 0.0625, 0.0
46, 0.2771672771672772, -0.17216117216117216, -2.9267399267399266, 0.5625, 0.5625, 0.5625, 0.0
47, 5.684981684981685, -2.0427350427350426, -1.3614163614163615, -0.1875, -0.1875, 1.25, 0.0
48, -0.5225885225885226, 3.7716727716727716, -2.5384615384615383, 0.4375, 0.25, 0.96875, 0.0
49, -5.846153846153846, -3.5567765567765566, -3.1404151404151404, 0.03125, 1.75, 0.0, 0.0
50, -2.5873015873015874, 2.3956043956043955, -2.4175824175824174, 0.5625, 3.375, 0.5, 0.0
51, -3.3076923076923075, 1.3785103785103785, -1.170940170940171, 0.96875, 4.40625, 1.3125, 0.0
52, -2.645909645909646, 1.192918192918193, -0.3064713064713065, 1.5625, 5.625, 1.96875, 0.0
53, -2.752136752136752, 0.938949938949939, 0.6678876678876678, 2.15625, 6.84375, 2.375, 0.0
54, -4.166056166056166, 2.04029304029304, 2.0915750915750917, 3.0, 8.59375, 2.5625, 0.0
55, -2.9804639804639805, 2.6617826617826617, 3.507936507936508, 3.75, 9.96875, 2.6875, 0.0
56, -1.4908424908424909, 3.8656898656898657, 4.677655677655678, 4.28125, 9.96875, 2.25, 0.0
57, 3.382173382173382, 4.203907203907204, 5.957264957264957, 4.40625, 8.3125, 1.53125, 0.0
58, 2.286935286935287, 3.456654456654457, 3.821733821733822, 4.21875, 6.375, 0.9375, 0.0
59, 1.877899877899878, 2.347985347985348, 2.065934065934066, 3.78125, 4.6875, 0.375, 0.0
60, 1.663003663003663, 2.128205128205128, 0.9145299145299145, 2.78125, 2.9375, 0.03125, 0.0
61, 0.6544566544566545, 2.2014652014652016, 0.36996336996337, 1.6875, 1.15625, -0.21875, 0.0
62, -0.7362637362637363, 2.9108669108669107, 0.5042735042735043, 0.78125, 0.03125, -0.46875, 0.0
63, 0.24175824175824176, -0.06593406593406594, -0.31868131868131866, -0.03125, 0.0, 0.0, 0.0
64, 0.07203907203907203, -0.019536019536019536, -0.2222222222222222, -0.0625, 0.0, -0.03125, 0.0
65, -0.05128205128205128, 0.10622710622710622, -0.10622710622710622, -0.0625, 0.0, -0.03125, 0.0
66, 0.013431013431013432, 0.12332112332112333, -0.06227106227106227, 0.0, 0.0, -0.03125, 0.0
67, 0.07692307692307693, -0.08058608058608059, -0.1391941391941392, 0.03125, 0.0, -0.03125, 0.0
68, 0.042735042735042736, -0.12698412698412698, -0.12087912087912088, 0.0, 0.0, -0.03125, 0.0
69, -0.02197802197802198, 0.019536019536019536, 0.07448107448107448, -0.0625, 0.0, -0.03125, 0.0
70, 0.003663003663003663, 0.03785103785103785, 0.11477411477411477, -0.03125, 0.0, -0.03125, 0.0
71, -0.09645909645909646, 0.013431013431013432, 0.10866910866910867, 0.0, -0.03125, 0.0, 0.0
72, -0.1452991452991453, 0.08180708180708181, 0.29304029304029305, 0.0625, 0.0, 0.0, 0.0
73, 0.1330891330891331, -0.11355311355311355, 0.5616605616605617, 0.125, -0.03125, 0.0, 0.0
74, -0.398046398046398, -0.12087912087912088, 0.6288156288156288, 0.0, -0.125, 0.15625, 1.0
75, -0.2222222222222222, 0.1575091575091575, 1.05006105006105, 0.09375, -0.125, 0.09375, 1.0
76, -0.15384615384615385, 0.057387057387057384, 1.3894993894993894, 0.1875, -0.21875, 0.125, 1.0
