timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
9995, 0.264, -1.177, -0.314, -0.152, 0.106, 0.164, 1
10015, 0.377, -1.237, -0.113, -0.148, 0.058, 0.162, 1
10035, 0.177, -1.164, 0.046, -0.233, 0.072, 0.164, 1
10055, 0.4, -1.178, -0.001, -0.312, 0.088, 0.141, 1
10075, 0.345, -0.934, -0.016, -0.332, 0.149, 0.175, 1
10095, 0.184, -0.887, -0.018, -0.387, 0.24, 0.222, 1
10115, -0.188, -0.323, -0.21, -0.493, 0.328, 0.283, 1
10135, -0.428, -0.098, -0.206, -0.556, 0.406, 0.261, 1
10155, -0.208, -0.157, -0.089, -0.589, 0.343, 0.194, 1
10175, -0.062, -0.105, 0.007, -0.587, 0.244, 0.195, 1
10195, -0.085, -0.123, 0.014, -0.562, 0.238, 0.205, 1
10215, -0.089, -0.068, 0.012, -0.515, 0.304, 0.211, 1
10235, -0.059, -0.033, -0.075, -0.544, 0.296, 0.174, 1
10255, 0.251, 0.336, -0.419, -0.53, 0.234, 0.12, 1
10275, -0.014, 0.354, -0.36, -0.436, 0.038, 0.127, 1
10295, -0.306, 0.174, -0.35, -0.319, -0.006, 0.153, 1
10315, -0.019, -0.045, 0.073, -0.204, 0.039, 0.163, 1
10335, 0.144, -0.021, 0.665, -0.268, 0.015, 0.244, 1
10355, -0.712, 0.382, -0.281, -0.378, 0.014, 0.268, 1
10375, -0.536, 0.231, -0.455, -0.219, 0.209, 0.192, 1
10395, -0.134, -0.03, -0.295, -0.116, 0.258, 0.172, 1
10415, -0.075, -0.049, -0.328, -0.106, 0.13, 0.172, 1
10435, -0.634, 0.438, -0.165, -0.067, 0.039, 0.155, 1
10455, -0.125, 0.073, 0.195, 0.011, 0.103, 0.119, 1
10475, -0.27, -0.042, 0.193, -0.076, -0.08, 0.081, 1
10495, -0.497, -0.173, 0.055, -0.183, -0.226, 0.059, 1
10515, -0.431, -0.18, -0.045, -0.262, -0.224, 0.093, 1
10535, -0.271, -0.214, -0.123, -0.292, -0.194, 0.095, 1
10555, 0.01, -0.231, -0.24, -0.313, -0.123, 0.037, 1
10575, 0.135, -0.252, -0.278, -0.346, -0.051, 0.008, 1
10595, -0.041, -0.425, -0.464, -0.387, 0.093, 0.075, 1
10615, 0.326, -0.22, -0.584, -0.461, 0.272, 0.173, 1
10635, 0.481, -0.015, -0.331, -0.419, 0.343, 0.208, 1
10655, 0.183, 0.016, -0.338, -0.368, 0.309, 0.294, 1
10675, 0.147, -0.074, -0.322, -0.276, 0.365, 0.328, 1
