timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
3354399, -0.007, -0.014, -0.11, -0.086, 0.043, 0.056, 1
3354419, -0.027, -0.017, -0.1, -0.105, 0.024, 0.059, 1
3354439, -0.009, -0.022, -0.08, -0.097, 0.028, 0.06, 1
3354459, 0.0, -0.022, -0.09, -0.091, 0.044, 0.056, 1
3354479, -0.007, -0.012, -0.159, -0.103, 0.041, 0.055, 1
3354499, -0.04, -0.012, -0.101, -0.098, 0.034, 0.062, 1
3354519, 0.01, -0.039, -0.07, -0.092, 0.043, 0.071, 1
3354539, 0.016, -0.048, -0.108, -0.084, 0.036, 0.065, 1
3354559, -0.023, -0.022, -0.136, -0.068, 0.029, 0.051, 1
3354579, -0.006, -0.004, -0.138, -0.073, 0.049, 0.054, 1
3354599, 0.003, -0.012, -0.149, -0.093, 0.032, 0.059, 1
3354619, -0.036, 0.012, -0.19, -0.095, 0.01, 0.054, 1
3354639, -0.022, -0.001, -0.21, -0.076, 0.031, 0.061, 1
3354659, 0.009, -0.048, -0.188, -0.064, 0.047, 0.059, 1
3354679, 0.002, -0.014, -0.188, -0.073, 0.042, 0.058, 1
3354699, -0.025, -0.003, -0.178, -0.081, 0.025, 0.054, 1
3354719, -0.021, -0.014, -0.138, -0.062, 0.014, 0.062, 1
3354739, 0.008, -0.01, -0.039, -0.03, -0.004, 0.048, 1
3354759, 0.016, -0.062, -0.193, -0.024, 0.0, 0.039, 1
3354779, -0.041, -0.03, -0.309, -0.071, 0.019, 0.043, 1
3354799, -0.042, 0.014, -0.233, -0.108, 0.07, 0.054, 1
3354819, 0.04, -0.02, -0.106, -0.062, 0.046, 0.046, 1
3354839, 0.044, -0.029, -0.027, -0.012, -0.005, 0.023, 1
3354859, -0.139, -0.153, -0.161, -0.056, 0.03, 0.076, 1
3354879, -0.259, -0.276, -0.563, -0.308, 0.171, 0.146, 1
3354899, -0.021, 0.059, -0.277, -0.335, 0.125, 0.208, 1
3354919, 0.087, 0.029, 0.156, -0.179, 0.006, 0.163, 0
3354939, 0.072, -0.031, 0.158, 0.016, -0.105, 0.102, 0
3354959, 0.085, -0.124, 0.273, 0.194, -0.193, 0.026, 0
3354979, -0.338, -0.45, -0.388, 0.026, -0.15, 0.044, 0
3354999, -0.283, -0.152, -0.781, -0.255, 0.007, 0.134, 0
3355019, -0.252, 0.06, -0.609, -0.322, 0.137, 0.171, 0
3355039, -0.081, 0.082, -0.136, -0.199, 0.227, 0.145, 0
3355059, 0.224, -0.159, 0.099, -0.065, 0.152, 0.091, 0
3355079, 0.247, -0.305, 0.063, 0.001, -0.018, 0.054, 0
3355099, 0.113, -0.527, -0.117, -0.023, -0.177, 0.054, 0
3355119, -0.098, -0.647, -0.299, -0.05, -0.237, 0.083, 0
3355139, -0.112, -1.126, -0.678, -0.088, -0.181, 0.088, 0
3355159, 0.247, -1.861, -1.176, -0.097, -0.131, 0.059, 0
3355179, 0.22, -2.872, -1.958, -0.143, -0.134, -0.026, 0
3355199, -0.636, -4.326, -2.615, -0.244, -0.026, 0.079, 0
3355219, -1.115, -5.632, -2.242, -0.271, 0.355, 0.156, 0
3355239, -1.573, -6.267, -1.302, -0.039, 1.01, 0.116, 0
