timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
2803158, -0.017, 1.955, -0.096, -0.164, 0.211, 0.166, 1
2803178, -0.086, 2.001, -0.129, -0.235, 0.26, 0.186, 1
2803198, -0.51, 2.443, -0.167, -0.227, 0.392, 0.282, 1
2803218, -0.884, 2.763, -0.299, -0.036, 0.731, 0.554, 1
2803238, -0.534, 2.264, -0.48, 0.221, 1.185, 0.912, 1
2803258, 0.345, 1.409, -0.575, 0.236, 1.359, 1.061, 1
2803278, 0.495, 1.133, -0.49, -0.043, 1.18, 0.947, 1
2803298, 0.462, 1.411, -0.168, -0.273, 0.977, 0.717, 1
2803318, 0.067, 1.579, -0.019, -0.345, 0.828, 0.608, 1
2803338, -0.114, 1.545, 0.007, -0.326, 0.818, 0.652, 1
2803358, 0.16, 1.346, 0.058, -0.276, 0.84, 0.693, 1
2803378, 0.479, 1.088, 0.117, -0.315, 0.739, 0.624, 1
2803398, 0.427, 1.216, 0.264, -0.415, 0.529, 0.43, 1
2803418, 0.331, 1.226, 0.272, -0.432, 0.367, 0.312, 1
2803438, 0.131, 1.263, 0.135, -0.433, 0.271, 0.268, 1
2803458, 0.224, 1.453, 0.131, -0.4, 0.282, 0.285, 1
2803478, 0.202, 1.435, 0.016, -0.343, 0.272, 0.308, 1
2803498, 0.314, 1.33, -0.08, -0.305, 0.255, 0.309, 1
2803518, 0.389, 1.204, -0.195, -0.382, 0.2, 0.273, 1
2803538, 0.326, 1.401, -0.214, -0.513, 0.125, 0.215, 1
2803558, 0.201, 1.493, -0.055, -0.58, 0.087, 0.191, 1
2803578, 0.093, 1.533, 0.043, -0.595, 0.054, 0.166, 1
2803598, -0.09, 1.706, 0.191, -0.565, 0.027, 0.215, 1
2803618, -0.101, 1.495, 0.116, -0.456, 0.058, 0.227, 1
2803638, 0.207, 1.327, 0.194, -0.47, -0.05, 0.148, 1
2803658, 0.087, 1.341, 0.156, -0.462, -0.106, 0.055, 1
2803678, 0.151, 1.351, 0.082, -0.475, -0.086, 0.02, 1
2803698, 0.087, 1.59, 0.113, -0.466, -0.075, 0.031, 1
2803718, 0.02, 1.786, 0.066, -0.403, -0.017, 0.061, 1
2803738, 0.214, 1.626, 0.082, -0.355, -0.042, 0.028, 1
2803758, 0.042, 1.557, 0.091, -0.297, -0.057, 0.012, 1
2803778, 0.029, 1.475, 0.09, -0.247, -0.05, 0.007, 1
2803798, 0.043, 1.453, 0.057, -0.244, -0.047, 0.011, 1
2803818, -0.032, 1.545, 0.004, -0.191, -0.003, 0.04, 1
2803838, 0.09, 1.471, 0.055, -0.18, -0.022, 0.034, 1
2803858, -0.074, 1.603, -0.051, -0.193, -0.006, 0.039, 1
2803878, -0.079, 1.687, -0.031, -0.15, 0.036, 0.071, 1
2803898, 0.044, 1.619, -0.097, -0.125, 0.034, 0.064, 1
2803918, -0.002, 1.568, -0.108, -0.134, 0.028, 0.054, 1
2803938, 0.022, 1.644, -0.017, -0.157, -0.007, 0.066, 1
2803958, -0.129, 1.733, -0.08, -0.141, 0.029, 0.103, 1
2803978, -0.062, 1.604, -0.061, -0.092, 0.059, 0.119, 1
2803998, 0.056, 1.526, 0.016, -0.054, 0.059, 0.106, 1
2804018, 0.033, 1.598, 0.063, 0.023, 0.054, 0.114, 1
2804038, 0.095, 1.274, -0.032, -0.006, 0.046, 0.095, 1
2804058, 0.153, 1.448, 0.032, -0.07, 0.012, 0.057, 1
2804078, 0.076, 1.654, 0.03, -0.066, 0.006, 0.051, 1
2804098, 0.002, 1.67, -0.039, -0.083, 0.009, 0.045, 1
2804118, 0.013, 1.635, -0.024, -0.088, 0.01, 0.054, 1
2804138, -0.086, 1.615, -0.082, -0.082, -0.002, 0.053, 1
2804158, -0.103, 1.623, -0.06, -0.058, 0.025, 0.094, 1
2804178, 0.014, 1.397, -0.038, -0.04, 0.02, 0.114, 1
2804198, 0.072, 1.534, 0.027, -0.097, -0.016, 0.072, 1
2804218, -0.072, 1.592, -0.005, -0.095, -0.052, 0.061, 1
2804238, 0.027, 1.604, -0.035, -0.081, -0.007, 0.07, 1
2804258, 0.144, 1.635, 0.058, -0.067, -0.007, 0.051, 1
2804278, 0.062, 1.484, -0.23, -0.036, -0.017, -0.003, 1
2804298, 0.238, 1.598, -0.151, -0.155, -0.055, -0.048, 1
2804318, 0.113, 1.672, 0.044, -0.164, -0.131, -0.114, 1
