timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
1799477, -0.019, -0.021, -0.069, -0.114, 0.069, 0.04, 1
1799497, -0.019, -0.008, -0.112, -0.122, 0.043, 0.039, 1
1799517, -0.12, 0.041, -0.178, -0.105, 0.087, 0.053, 1
1799537, 0.013, -0.004, -0.149, -0.102, 0.073, 0.05, 1
1799557, -0.022, -0.018, -0.178, -0.128, 0.056, 0.055, 1
1799577, 0.01, -0.041, -0.117, -0.123, 0.032, 0.059, 1
1799597, 0.027, -0.031, -0.087, -0.126, -0.004, 0.052, 1
1799617, -0.09, -0.025, -0.127, -0.099, 0.062, 0.061, 1
1799637, 0.04, -0.102, -0.122, -0.084, 0.065, 0.046, 1
1799657, 0.001, -0.097, -0.118, -0.135, 0.015, 0.051, 1
1799677, -0.113, 0.055, -0.096, -0.118, 0.039, 0.058, 1
1799697, -0.025, -0.008, -0.039, -0.071, 0.068, 0.05, 1
1799717, -0.007, -0.042, -0.113, -0.08, 0.06, 0.047, 1
1799737, -0.042, -0.009, -0.114, -0.082, 0.059, 0.045, 1
1799757, 0.009, -0.026, -0.035, -0.093, 0.045, 0.047, 1
1799777, -0.064, 0.02, -0.09, -0.081, 0.019, 0.041, 1
1799797, 0.013, -0.097, -0.142, -0.064, 0.059, 0.048, 1
1799817, 0.052, -0.107, -0.128, -0.083, 0.062, 0.044, 1
1799837, 0.005, -0.029, -0.107, -0.116, 0.026, 0.04, 1
1799857, -0.012, -0.018, -0.089, -0.115, 0.013, 0.039, 1
1799877, -0.011, 0.0, -0.056, -0.109, 0.003, 0.039, 1
1799897, 0.049, -0.107, -0.111, -0.101, -0.009, 0.037, 1
1799917, -0.014, -0.193, -0.204, -0.145, -0.039, 0.023, 1
1799937, -0.114, -0.177, -0.301, -0.214, -0.026, 0.0, 1
1799957, -0.228, 0.081, -0.34, -0.27, 0.083, -0.014, 1
1799977, -0.156, 0.163, -0.265, -0.215, 0.154, 0.005, 1
1799997, -0.086, 0.014, -0.301, -0.189, 0.093, 0.034, 1
1800018, -0.117, 0.161, -0.13, -0.21, 0.04, 0.065, 1
1800038, -0.004, -0.007, 0.053, -0.155, 0.049, 0.088, 1
1800058, 0.057, -0.166, 0.07, -0.11, 0.06, 0.08, 1
1800078, 0.07, -0.216, 0.0, -0.083, 0.038, 0.067, 1
1800098, -0.012, -0.268, -0.14, -0.083, -0.018, 0.059, 1
1800118, -0.029, -0.064, -0.087, -0.108, -0.031, 0.069, 1
1800138, 0.038, -0.042, -0.006, -0.058, -0.015, 0.065, 1
1800158, 0.029, -0.086, -0.077, -0.027, -0.012, 0.058, 1
1800178, -0.003, -0.091, -0.149, -0.046, 0.006, 0.065, 1
1800198, -0.006, -0.113, -0.182, -0.095, 0.012, 0.062, 1
1800218, -0.024, 0.016, -0.13, -0.084, -0.01, 0.057, 1
1800238, -0.062, 0.069, -0.099, -0.051, 0.008, 0.064, 1
1800258, -0.023, 0.003, -0.12, -0.051, 0.018, 0.068, 1
1800278, -0.014, -0.032, -0.183, -0.05, 0.042, 0.073, 1
1800298, 0.059, -0.129, -0.236, -0.106, 0.009, 0.071, 1
1800318, -0.003, 0.004, -0.133, -0.083, -0.013, 0.061, 1
1800338, -0.03, -0.006, -0.239, -0.07, 0.01, 0.064, 1
1800358, -0.041, 0.0, -0.276, -0.074, 0.065, 0.074, 1
1800378, -0.016, -0.037, -0.164, -0.089, 0.08, 0.075, 1
1800398, 0.048, -0.051, -0.075, -0.129, 0.006, 0.067, 1
1800418, -0.077, 0.093, 0.002, -0.1, -0.003, 0.064, 1
1800438, -0.043, 0.004, -0.118, -0.07, 0.022, 0.069, 1
1800458, 0.002, -0.144, -0.19, -0.103, 0.021, 0.07, 1
1800478, -0.017, -0.051, -0.177, -0.131, 0.05, 0.072, 1
1800498, -0.009, -0.047, -0.174, -0.133, 0.057, 0.073, 1
