timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
2506158, -0.001, -0.055, -0.019, -0.103, 0.056, 0.081, 1
2506178, -0.004, -0.045, -0.025, -0.077, 0.032, 0.075, 1
2506198, 0.007, -0.019, -0.026, -0.042, 0.025, 0.078, 1
2506218, -0.005, -0.082, -0.053, -0.033, 0.021, 0.076, 1
2506238, 0.057, -0.094, -0.004, -0.051, 0.01, 0.059, 1
2506258, 0.147, -0.019, 0.176, -0.01, -0.017, 0.042, 1
2506278, 0.003, -0.102, 0.155, 0.024, -0.095, 0.05, 1
2506298, -0.126, -0.194, 0.186, -0.02, -0.116, 0.065, 1
2506318, -0.047, -0.058, -0.021, -0.144, -0.144, 0.154, 1
2506338, 0.083, -0.168, -0.327, -0.346, -0.226, 0.172, 1
2506358, -0.244, 0.218, -0.208, -0.402, -0.24, 0.123, 1
2506378, -0.494, 0.178, -0.135, -0.23, -0.04, 0.139, 1
2506398, -0.12, -0.172, -0.16, -0.094, 0.208, 0.202, 1
2506418, 0.212, -0.463, -0.386, -0.176, 0.232, 0.209, 1
2506438, -0.009, -0.188, -0.523, -0.351, 0.107, 0.147, 1
2506458, -0.193, -0.067, -0.478, -0.409, 0.14, 0.148, 1
2506478, -0.055, -0.181, -0.2, -0.403, 0.246, 0.188, 1
2506498, 0.042, -0.236, -0.065, -0.405, 0.247, 0.189, 1
2506518, 0.025, -0.177, -0.05, -0.386, 0.178, 0.145, 1
2506538, -0.044, -0.192, -0.118, -0.34, 0.136, 0.093, 1
2506558, -0.164, 0.178, 0.132, -0.256, 0.163, 0.101, 1
2506578, 0.036, 0.203, 0.264, 0.139, 0.343, 0.128, 1
2506598, 0.267, -0.105, 0.353, 0.287, 0.294, 0.115, 1
2506618, 0.503, -0.301, 0.55, 0.34, 0.101, 0.073, 1
2506638, 0.6, -0.874, 0.239, 0.14, -0.157, 0.019, 1
2506658, 0.179, -0.685, 0.363, -0.11, -0.283, 0.024, 1
2506678, 0.066, -0.415, 0.285, -0.276, -0.236, 0.136, 1
