timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
1229, -0.014652014652014652, -0.001221001221001221, 0.11843711843711843, -0.0625, 0.0625, 0.0, 0.0
1230, -0.16727716727716727, 0.13064713064713065, 0.16727716727716727, -0.03125, 0.03125, 0.0, 0.0
1231, -0.10622710622710622, -0.01221001221001221, 0.04884004884004884, -0.03125, 0.0625, 0.03125, 0.0
1, 0.08058608058608059, -0.2564102564102564, -0.057387057387057384, -0.09375, 0.0, 0.03125, 0.0
2, 0.001221001221001221, -0.17582417582417584, -0.15506715506715507, -0.125, 0.0, 0.03125, 0.0
3, -0.045177045177045176, -0.03785103785103785, -0.08669108669108669, -0.09375, 0.0625, 0.03125, 0.0
4, 0.014652014652014652, -0.017094017094017096, 0.01098901098901099, -0.03125, 0.03125, 0.03125, 0.0
5, 0.04395604395604396, -0.07692307692307693, -0.047619047619047616, -0.0625, 0.0, 0.03125, 0.0
6, -0.004884004884004884, -0.06227106227106227, -0.115995115995116, -0.09375, 0.0, 0.03125, 0.0
7, -0.008547008547008548, -0.03663003663003663, -0.115995115995116, -0.09375, 0.03125, 0.03125, 0.0
8, -0.03663003663003663, -0.002442002442002442, -0.03785103785103785, -0.09375, 0.03125, 0.03125, 0.0
9, -0.03540903540903541, -0.020757020757020756, -0.10622710622710622, -0.0625, 0.0625, 0.03125, 0.0
10, -0.019536019536019536, -0.026862026862026864, -0.07692307692307693, -0.0625, 0.09375, 0.03125, 0.0
11, 0.01098901098901099, -0.04884004884004884, -0.047619047619047616, -0.09375, 0.03125, 0.03125, 0.0
12, 0.003663003663003663, -0.029304029304029304, 0.029304029304029304, -0.125, 0.0, 0.0625, 0.0
13, -0.08547008547008547, -0.03907203907203907, -0.07692307692307693, -0.09375, 0.0, 0.03125, 0.0
14, -0.017094017094017096, -0.0989010989010989, -0.22344322344322345, -0.0625, 0.0625, 0.03125, 0.0
15, 0.05372405372405373, -0.1111111111111111, -0.1562881562881563, -0.125, 0.0625, 0.03125, 0.0
16, -0.05982905982905983, 0.009768009768009768, 0.009768009768009768, -0.15625, 0.0, 0.03125, 0.0
17, -0.08913308913308914, 0.0463980463980464, 0.17704517704517705, -0.09375, 0.03125, 0.03125, 0.0
18, -0.02564102564102564, -0.003663003663003663, 0.16727716727716727, -0.03125, 0.0625, 0.0, 0.0
19, 0.006105006105006105, -0.0695970695970696, 0.03907203907203907, -0.03125, 0.0625, 0.03125, 0.0
20, -0.007326007326007326, -0.10866910866910867, -0.07692307692307693, -0.0625, 0.03125, 0.03125, 0.0
21, -0.03785103785103785, -0.05372405372405373, -0.09645909645909646, -0.09375, 0.0, 0.03125, 0.0
22, -0.013431013431013432, -0.030525030525030524, -0.047619047619047616, -0.0625, 0.03125, 0.03125, 0.0
23, 0.07081807081807082, -0.10134310134310134, -0.06715506715506715, -0.0625, 0.0625, 0.03125, 0.0
24, 0.014652014652014652, -0.04151404151404151, -0.03785103785103785, -0.09375, 0.0, 0.03125, 0.0
25, -0.1514041514041514, 0.08302808302808302, -0.018315018315018316, -0.125, 0.0, 0.03125, 0.0
26, -0.12332112332112333, 0.057387057387057384, 0.10866910866910867, -0.0625, 0.03125, 0.0625, 0.0
27, 0.047619047619047616, -0.09157509157509157, -0.018315018315018316, 0.0, 0.0625, 0.03125, 0.0
28, 0.09035409035409035, -0.22344322344322345, -0.16483516483516483, -0.0625, 0.0, 0.03125, 0.0
29, -0.04151404151404151, -0.06227106227106227, -0.19413919413919414, -0.09375, 0.0, 0.03125, 0.0
30, -0.11843711843711843, 0.03296703296703297, -0.09645909645909646, -0.09375, 0.03125, 0.03125, 0.0
31, -0.09523809523809523, 0.057387057387057384, 0.009768009768009768, -0.03125, 0.125, 0.03125, 0.0
32, 0.06105006105006105, -0.16483516483516483, -0.15506715506715507, 0.0, 0.09375, 0.03125, 0.0
33, 0.11355311355311355, -0.19413919413919414, -0.2039072039072039, -0.09375, 0.0, 0.03125, 0.0
34, -0.06105006105006105, -0.045177045177045176, -0.16483516483516483, -0.15625, 0.0, 0.0625, 0.0
35, -0.06837606837606838, -0.006105006105006105, -0.13553113553113552, -0.125, 0.0625, 0.0625, 0.0
36, -0.013431013431013432, -0.02564102564102564, -0.057387057387057384, -0.09375, 0.09375, 0.0625, 0.0
37, -0.042735042735042736, -0.018315018315018316, -0.028083028083028084, -0.0625, 0.125, 0.0625, 0.0
38, 0.02442002442002442, -0.08302808302808302, -0.15506715506715507, -0.09375, 0.125, 0.0625, 0.0
39, 0.14896214896214896, -0.11965811965811966, -0.09768009768009768, -0.125, 0.03125, 0.0625, 0.0
40, 0.006105006105006105, -0.06593406593406594, -0.17582417582417584, -0.125, 0.0, 0.03125, 0.0
41, -0.1855921855921856, 0.10622710622710622, -0.15506715506715507, -0.09375, 0.03125, 0.03125, 0.0
42, -0.115995115995116, 0.007326007326007326, -0.16483516483516483, -0.03125, 0.125, 0.03125, 0.0
43, 0.10256410256410256, -0.09768009768009768, -0.20512820512820512, -0.0625, 0.03125, 0.03125, 0.0
44, -0.029304029304029304, -0.03418803418803419, -0.3125763125763126, -0.09375, 0.0, 0.03125, 0.0
45, -0.10012210012210013, 0.008547008547008548, -0.3418803418803419, -0.09375, 0.0625, 0.03125, 0.0
46, -0.047619047619047616, -0.029304029304029304, -0.3516483516483517, -0.09375, 0.125, 0.03125, 0.0
47, 0.12698412698412698, -0.08791208791208792, -0.26373626373626374, -0.125, 0.09375, 0.0625, 0.0
48, 0.1391941391941392, -0.08547008547008547, -0.27472527472527475, -0.15625, 0.0, 0.03125, 0.0
49, -0.04395604395604396, 0.002442002442002442, -0.2844932844932845, -0.125, 0.0, 0.0, 0.0
50, -0.12454212454212454, 0.009768009768009768, -0.3333333333333333, -0.0625, 0.09375, 0.0, 0.0
51, 0.031746031746031744, -0.11843711843711843, -0.304029304029304, -0.0625, 0.09375, 0.0, 0.0
52, -0.02442002442002442, -0.042735042735042736, -0.2148962148962149, -0.0625, 0.0625, 0.0, 0.0
53, -0.10012210012210013, -0.006105006105006105, -0.047619047619047616, -0.0625, 0.15625, 0.03125, 0.0
54, 0.1562881562881563, -0.26495726495726496, 0.028083028083028084, -0.125, 0.125, 0.03125, 0.0
55, 0.08058608058608059, -0.1684981684981685, 0.22344322344322345, -0.1875, 0.09375, 0.03125, 0.0
56, 0.09157509157509157, -0.22344322344322345, 0.3492063492063492, -0.25, 0.03125, 0.0625, 0.0
57, -0.06837606837606838, -0.052503052503052504, 0.4884004884004884, -0.28125, -0.03125, 0.09375, 0.0
58, -0.1623931623931624, 0.042735042735042736, 0.6056166056166056, -0.25, 0.0, 0.09375, 0.0
59, -0.007326007326007326, -0.08791208791208792, 0.6056166056166056, -0.15625, 0.03125, 0.09375, 0.0
60, 0.25274725274725274, -0.39194139194139194, 0.48717948717948717, -0.125, 0.0, 0.125, 0.0
61, 0.1684981684981685, -0.37484737484737485, 0.3504273504273504, -0.15625, -0.03125, 0.09375, 0.0
62, -0.03540903540903541, -0.1794871794871795, 0.3308913308913309, -0.15625, 0.0, 0.0625, 0.0
63, -0.07692307692307693, 0.0231990231990232, -0.0695970695970696, -0.09375, 0.0625, 0.03125, 0.0
64, -0.14163614163614163, 0.047619047619047616, -0.10012210012210013, -0.09375, 0.09375, 0.0625, 0.0
65, -0.018315018315018316, -0.05860805860805861, -0.12942612942612944, -0.125, 0.0625, 0.09375, 0.0
66, -0.015873015873015872, -0.057387057387057384, -0.07936507936507936, -0.15625, 0.03125, 0.09375, 0.0
67, -0.026862026862026864, -0.02564102564102564, 0.03663003663003663, -0.09375, 0.125, 0.09375, 0.0
68, 0.19047619047619047, -0.10989010989010989, 0.09401709401709402, -0.09375, 0.0625, 0.0625, 0.0
69, 0.1575091575091575, -0.14407814407814407, 0.09401709401709402, -0.125, 0.0, 0.0625, 0.0
70, 0.042735042735042736, -0.08058608058608059, 0.0927960927960928, -0.15625, 0.0, 0.0625, 0.0
71, -0.047619047619047616, 0.014652014652014652, 0.13186813186813187, -0.125, 0.0, 0.0625, 0.0
72, 0.0, -0.029304029304029304, 0.13064713064713065, -0.03125, 0.0625, 0.03125, 0.0
73, 0.040293040293040296, -0.08058608058608059, 0.08180708180708181, -0.03125, 0.03125, 0.03125, 0.0
74, -0.01221001221001221, -0.0231990231990232, 0.013431013431013432, -0.09375, -0.03125, 0.03125, 0.0
75, -0.18925518925518925, 0.04151404151404151, -0.10256410256410256, -0.09375, -0.03125, 0.03125, 0.0
76, -0.1575091575091575, -0.017094017094017096, -0.21978021978021978, -0.0625, 0.03125, 0.03125, 0.0
77, -0.014652014652014652, -0.06715506715506715, -0.15995115995115994, -0.09375, 0.09375, 0.0625, 0.0
78, 0.040293040293040296, -0.06715506715506715, -0.07203907203907203, -0.09375, 0.09375, 0.0625, 0.0
79, 0.02197802197802198, -0.0757020757020757, -0.07203907203907203, -0.09375, 0.03125, 0.0625, 0.0
80, -0.042735042735042736, -0.028083028083028084, -0.08180708180708181, -0.125, 0.0, 0.0625, 0.0
81, -0.008547008547008548, -0.007326007326007326, 0.003663003663003663, -0.125, 0.03125, 0.0625, 0.0
82, 0.07203907203907203, -0.05616605616605617, 0.09035409035409035, -0.09375, 0.03125, 0.0625, 0.0
83, -0.04151404151404151, -0.08302808302808302, -0.03418803418803419, -0.09375, 0.0, 0.03125, 0.0
84, -0.04884004884004884, -0.09401709401709402, -0.10134310134310134, -0.0625, 0.0, 0.03125, 0.0
85, -0.01221001221001221, -0.054945054945054944, -0.06105006105006105, -0.09375, 0.03125, 0.03125, 0.0
86, -0.006105006105006105, -0.028083028083028084, 0.004884004884004884, -0.125, 0.03125, 0.03125, 0.0
87, -0.11233211233211234, 0.029304029304029304, -0.0231990231990232, -0.09375, 0.0, 0.03125, 0.0
88, -0.045177045177045176, -0.02197802197802198, -0.04151404151404151, -0.09375, 0.03125, 0.03125, 0.0
89, 0.015873015873015872, -0.03540903540903541, 0.05372405372405373, -0.09375, 0.03125, 0.03125, 0.0
90, -0.018315018315018316, -0.04884004884004884, 0.045177045177045176, -0.09375, 0.0, 0.03125, 0.0
91, -0.04395604395604396, -0.05860805860805861, -0.08058608058608059, -0.0625, 0.0, 0.03125, 0.0
92, -0.031746031746031744, -0.08180708180708181, -0.20634920634920634, -0.09375, 0.0, 0.03125, 0.0
93, -0.006105006105006105, -0.052503052503052504, -0.10866910866910867, -0.125, 0.0625, 0.03125, 0.0
94, -0.0231990231990232, 0.015873015873015872, 0.02564102564102564, -0.09375, 0.09375, 0.03125, 0.0
95, -0.01221001221001221, 0.009768009768009768, 0.052503052503052504, -0.0625, 0.0625, 0.03125, 0.0
96, 0.05128205128205128, -0.08791208791208792, 0.03418803418803419, -0.09375, 0.0, 0.0625, 0.0
97, -0.052503052503052504, -0.020757020757020756, 0.03418803418803419, -0.09375, 0.0, 0.03125, 0.0
98, -0.019536019536019536, -0.030525030525030524, -0.06227106227106227, -0.03125, 0.03125, 0.03125, 0.0
99, 0.08180708180708181, -0.12698412698412698, -0.15995115995115994, -0.0625, 0.03125, 0.03125, 0.0
100, 0.05128205128205128, -0.15873015873015872, -0.2087912087912088, -0.125, 0.0, 0.03125, 0.0
101, -0.06593406593406594, -0.007326007326007326, -0.10989010989010989, -0.09375, 0.0, 0.03125, 0.0
102, 0.006105006105006105, -0.047619047619047616, -0.10989010989010989, -0.09375, 0.03125, 0.03125, 0.0
103, -0.0757020757020757, -0.013431013431013432, -0.1391941391941392, -0.0625, 0.03125, 0.03125, 0.0
104, -0.08302808302808302, -0.01098901098901099, -0.17826617826617827, -0.09375, 0.09375, 0.03125, 0.0
105, 0.0989010989010989, -0.10256410256410256, -0.02197802197802198, -0.15625, 0.03125, 0.03125, 0.0
106, 0.007326007326007326, -0.028083028083028084, 0.05372405372405373, -0.15625, 0.0, 0.03125, 0.0
107, -0.1391941391941392, 0.03785103785103785, 0.03296703296703297, -0.09375, 0.03125, 0.03125, 0.0
108, -0.09157509157509157, -0.03540903540903541, -0.014652014652014652, -0.0625, 0.09375, 0.03125, 0.0
109, 0.12454212454212454, -0.16483516483516483, -0.003663003663003663, -0.125, 0.0625, 0.03125, 0.0
110, 0.09401709401709402, -0.1111111111111111, 0.05372405372405373, -0.15625, 0.0, 0.0625, 0.0
