timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
5550, -0.03785103785103785, 0.04395604395604396, -0.08913308913308914, 0.0, 0.0, 0.0, 0.0
5551, 0.18803418803418803, -0.09035409035409035, -0.18681318681318682, 0.0, -0.0625, 0.03125, 0.0
5552, 0.0231990231990232, 0.050061050061050064, -0.0927960927960928, 0.0, -0.0625, 0.0, 0.0
1, 0.3308913308913309, -0.15018315018315018, -0.5311355311355311, 0.0, -0.09375, 0.0, 0.0
2, 0.13797313797313798, -0.07203907203907203, -0.19413919413919414, -0.25, -0.40625, -0.03125, 0.0
3, -0.1330891330891331, 0.11721611721611722, -0.08058608058608059, -0.25, -0.3125, -0.03125, 0.0
4, 0.22954822954822954, 0.0463980463980464, -0.03418803418803419, -0.1875, -0.3125, -0.03125, 0.0
5, -0.5067155067155067, 0.1391941391941392, 0.08058608058608059, -0.15625, -0.15625, -0.03125, 0.0
6, 0.004884004884004884, -0.06105006105006105, -0.4139194139194139, -0.28125, -0.15625, 0.0, 0.0
7, -0.8461538461538461, -0.001221001221001221, -0.9731379731379731, -0.375, -0.03125, 0.09375, 0.0
8, -0.5457875457875457, -0.10134310134310134, -0.9706959706959707, -0.46875, 0.28125, 0.1875, 0.0
9, -0.28083028083028083, 0.01098901098901099, -0.608058608058608, -0.59375, 0.53125, 0.28125, 0.0
10, -0.07203907203907203, -0.10744810744810745, -0.6691086691086691, -0.6875, 0.75, 0.3125, 0.0
11, -0.3516483516483517, -0.4358974358974359, -1.514041514041514, -1.09375, 1.15625, 0.3125, 0.0
12, -0.8864468864468864, -0.37606837606837606, -2.7765567765567765, -1.46875, 1.78125, 0.40625, 0.0
13, -0.9865689865689866, -0.3724053724053724, -2.05006105006105, -1.6875, 2.28125, 0.6875, 0.0
14, -0.2442002442002442, -0.7301587301587301, -1.398046398046398, -1.46875, 2.59375, 1.375, 0.0
15, 1.492063492063492, -2.8144078144078146, -2.586080586080586, -1.0625, 3.3125, 2.65625, 0.0
16, 6.203907203907204, -4.36019536019536, -4.257631257631258, -0.90625, 3.40625, 1.78125, 0.0
17, 6.438339438339439, -4.423687423687424, -3.7203907203907205, -0.90625, 2.96875, 0.0625, 0.0
18, 4.31990231990232, -3.8485958485958487, -2.2075702075702077, -0.59375, 2.90625, -0.75, 0.0
19, 2.086691086691087, -3.1904761904761907, -0.7912087912087912, 0.0, 3.09375, -0.78125, 0.0
20, 0.9902319902319903, -3.7838827838827838, 0.10134310134310134, 0.5, 3.0625, -0.9375, 0.0
21, 0.16361416361416362, -4.346764346764346, 1.6092796092796093, 0.71875, 2.65625, -1.1875, 0.0
22, -0.6764346764346765, -3.139194139194139, 2.8827838827838828, 1.625, 2.4375, -1.625, 0.0
23, -1.3968253968253967, -3.6507936507936507, 3.2283272283272284, 1.90625, 2.21875, -2.0625, 0.0
24, -1.8656898656898657, -2.8913308913308913, 2.3614163614163615, 1.71875, 1.5, -2.21875, 0.0
25, -2.9108669108669107, -0.8656898656898657, 2.1196581196581197, 1.65625, 0.9375, -2.21875, 0.0
26, -3.213675213675214, -0.11843711843711843, 2.1306471306471306, 1.96875, 0.84375, -2.4375, 0.0
27, -3.5128205128205128, -0.1452991452991453, 2.4395604395604398, 2.28125, 0.71875, -2.46875, 0.0
28, -2.6312576312576312, 0.7692307692307693, 2.311355311355311, 2.59375, 0.46875, -2.0625, 0.0
29, -2.89010989010989, -0.12576312576312576, 1.293040293040293, 3.0, 0.28125, -1.625, 0.0
30, -2.826617826617827, -0.3418803418803419, 0.2442002442002442, 2.96875, 0.21875, -1.4375, 0.0
31, -2.9804639804639805, 0.007326007326007326, 0.16483516483516483, 2.75, 0.25, -1.09375, 0.0
32, -2.3663003663003663, 1.6288156288156288, 0.4993894993894994, 2.75, 0.34375, -0.53125, 0.0
33, -2.700854700854701, 1.9987789987789988, -0.78998778998779, 2.96875, 0.5, 0.0625, 0.0
34, -2.42002442002442, 2.2979242979242978, -1.3553113553113554, 3.28125, 1.1875, 0.625, 0.0
35, 0.25396825396825395, 1.879120879120879, -2.2344322344322345, 3.0625, 1.0, 0.90625, 0.0
36, 1.0537240537240538, 3.028083028083028, -2.924297924297924, 2.9375, 0.65625, 1.09375, 0.0
37, 0.7130647130647131, 3.2625152625152625, -3.7374847374847375, 2.9375, 0.53125, 1.125, 0.0
38, -0.2673992673992674, 2.094017094017094, -4.6752136752136755, 2.65625, 0.78125, 1.03125, 0.0
39, -1.0695970695970696, 1.3223443223443223, -4.315018315018315, 2.15625, 1.28125, 1.0, 0.0
40, -0.34554334554334554, 1.424908424908425, -2.9096459096459095, 1.71875, 1.5, 1.03125, 0.0
41, 1.2844932844932846, 2.496947496947497, -2.15018315018315, 1.53125, 1.1875, 1.0625, 0.0
42, 1.271062271062271, 2.4590964590964592, -2.115995115995116, 1.5625, 0.78125, 0.8125, 0.0
43, 0.702075702075702, 1.4188034188034189, -3.2454212454212454, 1.46875, 0.65625, 0.46875, 0.0
