timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
644876, 1.205, -0.532, -0.273, -0.153, 0.178, 0.067, 1
644896, 0.585, -0.079, -0.279, -0.257, -0.095, 0.013, 1
644916, 0.213, 0.053, -0.389, -0.197, -0.081, 0.025, 1
644936, 0.216, 0.004, -0.483, -0.126, 0.032, 0.069, 1
644956, 0.276, 0.005, -0.431, -0.153, 0.077, 0.072, 1
644976, 0.174, 0.07, -0.297, -0.216, 0.018, 0.045, 1
644996, 0.044, 0.141, -0.101, -0.272, -0.048, 0.023, 1
645016, -0.091, 0.217, 0.042, -0.274, -0.051, 0.032, 1
645036, -0.056, 0.158, 0.068, -0.235, 0.001, 0.061, 1
645056, 0.042, 0.069, 0.009, -0.197, 0.048, 0.081, 1
645076, 0.131, 0.002, -0.073, -0.2, 0.037, 0.072, 1
645096, 0.14, 0.037, -0.106, -0.204, -0.003, 0.048, 1
645116, 0.103, 0.053, -0.154, -0.215, -0.034, 0.025, 1
645136, 0.006, 0.136, -0.121, -0.191, -0.008, 0.025, 1
645156, -0.082, 0.156, -0.104, -0.138, 0.069, 0.043, 1
645176, 0.033, 0.104, -0.137, -0.135, 0.102, 0.048, 1
645196, 0.095, 0.117, -0.143, -0.16, 0.039, 0.029, 1
645216, 0.018, 0.149, -0.129, -0.169, -0.003, 0.015, 1
645236, -0.075, 0.226, -0.084, -0.143, 0.013, 0.036, 1
645256, -0.044, 0.181, -0.085, -0.114, 0.039, 0.048, 1
645276, 0.004, 0.126, -0.087, -0.103, 0.055, 0.053, 1
645296, 0.047, 0.129, -0.077, -0.111, 0.039, 0.05, 1
645316, 0.05, 0.119, -0.102, -0.108, 0.029, 0.056, 1
645336, 0.054, 0.128, -0.087, -0.11, 0.027, 0.061, 1
645356, 0.098, 0.107, -0.143, -0.119, -0.004, 0.053, 1
645376, 0.076, 0.095, -0.167, -0.109, -0.01, 0.049, 1
645396, 0.063, 0.12, -0.13, -0.098, 0.019, 0.061, 1
645416, 0.102, 0.078, -0.225, -0.1, 0.032, 0.065, 1
645436, 0.099, 0.092, -0.194, -0.109, 0.026, 0.067, 1
645456, 0.106, 0.08, -0.22, -0.125, 0.022, 0.064, 1
645476, 0.111, 0.08, -0.238, -0.119, 0.029, 0.061, 1
645496, 0.112, 0.083, -0.239, -0.113, 0.039, 0.06, 1
645516, 0.132, 0.062, -0.291, -0.123, 0.039, 0.05, 1
645536, 0.093, 0.103, -0.193, -0.128, 0.045, 0.043, 1
645556, 0.055, 0.095, -0.163, -0.127, 0.064, 0.039, 1
645576, 0.059, 0.129, -0.098, -0.123, 0.054, 0.033, 1
645596, 0.07, 0.118, -0.127, -0.122, 0.02, 0.021, 1
645616, 0.043, 0.115, -0.119, -0.118, 0.001, 0.01, 1
645636, 0.018, 0.127, -0.115, -0.103, 0.003, 0.006, 1
645656, 0.024, 0.096, -0.155, -0.095, 0.027, 0.013, 1
645676, 0.062, 0.098, -0.153, -0.103, 0.047, 0.022, 1
645696, 0.083, 0.092, -0.18, -0.105, 0.034, 0.022, 1
645716, 0.058, 0.1, -0.175, -0.121, 0.007, 0.026, 1
645736, 0.067, 0.087, -0.168, -0.117, 0.023, 0.037, 1
645756, 0.095, 0.079, -0.175, -0.114, 0.043, 0.05, 1
645776, 0.063, 0.107, -0.12, -0.119, 0.04, 0.053, 1
645796, 0.064, 0.114, -0.112, -0.113, 0.036, 0.055, 1
645816, 0.063, 0.126, -0.103, -0.111, 0.037, 0.056, 1
645836, 0.043, 0.13, -0.072, -0.103, 0.032, 0.056, 1
645856, 0.052, 0.122, -0.108, -0.103, 0.037, 0.061, 1
645876, 0.072, 0.115, -0.138, -0.101, 0.032, 0.067, 1
645896, 0.068, 0.117, -0.131, -0.091, 0.037, 0.061, 1
645916, 0.095, 0.116, -0.154, -0.103, 0.043, 0.064, 1
645936, 0.065, 0.126, -0.115, -0.102, 0.019, 0.053, 1
645956, 0.064, 0.105, -0.158, -0.093, 0.007, 0.052, 1
645976, 0.119, 0.081, -0.245, -0.093, 0.009, 0.056, 1
645996, 0.136, 0.039, -0.295, -0.093, -0.004, 0.045, 1
646016, 0.113, 0.059, -0.309, -0.122, -0.004, 0.038, 1
646036, 0.081, 0.08, -0.255, -0.113, 0.015, 0.049, 1
646056, 0.057, 0.068, -0.204, -0.118, 0.071, 0.068, 1
646076, 0.075, 0.104, -0.124, -0.116, 0.081, 0.078, 1
646096, 0.055, 0.126, -0.072, -0.123, 0.07, 0.071, 1
646116, -0.039, 0.107, -0.088, -0.111, 0.095, 0.069, 1
646136, 0.041, 0.189, 0.028, -0.088, 0.097, 0.08, 1
646156, 0.043, 0.156, -0.047, -0.084, 0.067, 0.07, 1
646176, 0.05, 0.156, -0.074, -0.08, 0.038, 0.058, 1
646196, 0.049, 0.131, -0.171, -0.065, 0.022, 0.047, 1
646216, 0.092, 0.076, -0.263, -0.067, 0.009, 0.04, 1
646236, 0.092, 0.071, -0.301, -0.072, 0.021, 0.031, 1
646256, -0.006, 0.08, -0.288, -0.076, 0.061, 0.039, 1
646276, 0.038, 0.082, -0.196, -0.092, 0.079, 0.065, 1
646296, 0.081, 0.088, -0.153, -0.127, 0.07, 0.069, 1
646316, 0.078, 0.09, -0.171, -0.137, 0.07, 0.074, 1
646336, 0.099, 0.081, -0.125, -0.125, 0.081, 0.064, 1
646356, 0.114, 0.149, -0.087, -0.08, 0.043, 0.052, 1
646376, 0.082, 0.142, -0.128, -0.039, 0.017, 0.02, 1
646396, 0.041, 0.174, -0.054, -0.023, 0.015, -0.015, 1
646416, 0.124, -0.011, -0.331, -0.084, 0.031, -0.087, 1
646436, -0.063, 0.184, -0.249, -0.124, 0.042, -0.047, 1
646456, -0.028, 0.299, -0.122, -0.086, 0.041, 0.013, 1
646476, 0.166, 0.394, 0.024, 0.066, -0.031, 0.014, 0
646496, -0.018, 0.131, -0.03, 0.105, -0.026, 0.035, 0
646516, -0.063, -0.06, -0.386, 0.05, 0.124, 0.072, 0
646536, 0.104, -0.284, -0.672, -0.277, 0.219, 0.179, 0
646556, 0.397, 0.028, -0.528, -0.29, 0.115, 0.143, 0
646576, 0.368, 0.002, -0.971, -0.284, 0.144, 0.149, 0
646596, 0.967, -0.421, -1.881, -0.119, 0.302, 0.139, 0
646616, 1.805, -1.574, -3.324, -0.029, 0.521, -0.067, 0
646636, 2.956, -2.55, -4.981, -0.266, 0.674, -0.402, 0
646656, 2.777, -1.73, -6.164, -0.649, 0.709, -0.877, 0
646676, 1.448, -1.115, -7.257, -0.913, 0.943, -1.026, 0
646696, 1.047, -1.203, -7.662, -1.07, 1.607, -0.888, 0
646716, 1.026, -1.995, -7.55, -1.119, 2.419, -0.824, 0
646736, 1.371, -2.961, -6.858, -1.183, 3.042, -0.91, 0
646756, 1.534, -4.0, -6.196, -1.467, 3.416, -1.256, 0
646776, 0.469, -4.07, -4.914, -1.739, 3.761, -1.786, 0
646796, -0.807, -3.559, -3.775, -1.852, 4.269, -2.395, 0
646816, -1.951, -3.312, -2.343, -1.72, 4.847, -2.79, 0
646836, -2.014, -4.176, -1.431, -1.601, 5.088, -3.021, 0
646856, -1.481, -5.371, -0.677, -1.698, 4.751, -3.148, 0
646876, -2.12, -6.46, 0.124, -1.893, 3.951, -3.168, 0
646896, -3.84, -7.638, 0.712, -2.099, 3.261, -3.266, 0
646916, -5.843, -6.468, 1.966, -2.109, 2.973, -3.378, 0
646936, -7.77, -5.634, 2.94, -1.584, 2.745, -3.104, 0
646956, -8.165, -5.913, 3.115, -1.165, 2.486, -2.66, 0
646976, -7.527, -5.054, 3.402, -1.09, 1.858, -2.2, 0
646996, -7.456, -4.587, 3.36, -1.028, 0.882, -1.66, 0
647016, -7.721, -4.013, 3.138, -0.871, 0.116, -0.784, 0
647036, -6.924, -3.535, 2.873, -0.543, 0.112, -0.06, 0
647056, -4.92, -4.437, 2.235, -0.415, 0.148, 0.359, 0
647076, -2.559, -4.607, 1.919, -0.279, -0.055, 0.608, 0
647096, -0.893, -4.962, 1.246, -0.145, -0.215, 0.716, 0
647116, 0.277, -5.05, 0.269, -0.061, -0.106, 0.638, 0
647136, 1.022, -4.716, -0.315, 0.091, 0.156, 0.535, 0
647156, 1.493, -4.785, -0.887, 0.104, 0.304, 0.353, 0
647176, 1.643, -4.606, -1.021, 0.025, 0.127, 0.205, 0
647196, 1.114, -4.711, -1.282, -0.189, -0.088, 0.123, 0
647216, -0.082, -3.568, -1.149, -0.087, -0.097, 0.356, 1
647236, -1.198, -4.992, -1.902, -0.274, 0.28, 0.464, 1
647256, -0.859, -4.282, -1.276, -0.356, 0.549, 0.459, 1
647276, -0.25, -3.991, -0.126, -0.004, 0.454, 0.481, 1
647296, 0.02, -4.737, 0.497, 0.226, 0.129, 0.375, 1
647316, -0.234, -5.11, 0.745, 0.367, -0.138, 0.357, 1
647336, -0.798, -5.257, 0.799, 0.482, -0.244, 0.262, 1
647356, -1.272, -5.215, 0.694, 0.544, -0.324, 0.249, 1
647376, -1.697, -4.884, 0.617, 0.627, -0.409, 0.379, 1
647396, -2.455, -4.621, 0.546, 0.762, -0.459, 0.539, 1
647416, -3.247, -4.5, 0.645, 0.891, -0.508, 0.822, 1
647436, -3.129, -4.679, 0.859, 0.993, -0.753, 1.232, 1
647456, -3.129, -4.889, 1.192, 1.108, -1.206, 1.491, 1
647476, -3.99, -4.946, 1.555, 1.236, -1.641, 1.49, 1
647496, -4.764, -4.988, 1.666, 1.323, -1.99, 1.547, 1
647516, -4.48, -4.748, 1.132, 1.376, -2.477, 1.807, 1
647536, -4.488, -4.748, 1.203, 1.525, -3.21, 2.034, 1
647556, -5.142, -3.721, 1.427, 1.548, -3.932, 2.07, 1
647576, -5.994, -3.007, 0.759, 1.572, -4.126, 2.316, 1
647596, -4.668, -3.373, -0.314, 1.761, -3.426, 2.872, 1
647616, -2.19, -4.309, -0.885, 1.791, -3.006, 3.125, 1
647636, -0.635, -4.433, -1.501, 1.434, -3.172, 2.392, 1
647656, -1.292, -2.541, -2.408, 1.137, -3.395, 1.815, 1
647676, -1.42, -2.15, -3.758, 1.56, -2.731, 2.226, 1
647696, 0.374, -3.68, -4.536, 2.122, -1.569, 2.504, 1
647716, 3.075, -5.453, -4.696, 1.808, -1.32, 2.037, 1
647736, 3.157, -4.022, -4.479, 0.719, -1.962, 1.177, 1
647756, 1.14, -2.092, -4.445, 0.321, -2.122, 0.93, 1
647776, 0.482, -1.434, -4.371, 0.679, -1.362, 0.985, 1
647796, 1.493, -1.485, -3.873, 0.972, -0.599, 0.921, 1
647816, 2.013, -1.112, -3.405, 0.794, -0.617, 0.748, 1
647836, 1.763, -0.948, -3.472, 0.425, -1.014, 0.877, 1
647856, 1.21, -0.794, -3.641, 0.191, -1.019, 0.985, 1
647876, 0.966, -0.552, -3.361, 0.172, -0.606, 0.74, 1
647896, 0.849, -0.339, -2.796, 0.149, -0.182, 0.447, 1
647916, 0.591, 0.036, -1.983, 0.039, 0.021, 0.356, 1
647936, 0.457, -0.041, -1.346, -0.062, 0.081, 0.349, 1
