timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
5330, -1.218, 8.097, -6.139, -0.153, -0.034, 0.174, 1
5350, -1.27, 8.072, -5.993, -0.117, -0.017, 0.182, 1
5370, -1.295, 7.989, -5.735, -0.077, 0.009, 0.17, 1
5390, -1.315, 7.84, -5.601, -0.043, 0.026, 0.155, 1
5410, -1.176, 7.689, -5.466, -0.035, 0.057, 0.122, 1
5430, -1.115, 7.561, -5.359, -0.097, 0.083, 0.2, 1
5450, -1.164, 7.541, -5.333, -0.11, 0.01, 0.157, 1
5470, -1.298, 7.554, -5.316, -0.086, -0.063, 0.085, 1
5490, -1.006, 7.449, -5.273, -0.074, -0.088, 0.056, 1
5510, -1.067, 7.562, -5.264, -0.056, -0.097, 0.047, 1
5530, -0.96, 7.46, -5.053, -0.004, -0.019, 0.035, 1
5550, -0.9, 7.233, -4.847, 0.01, -0.062, 0.029, 1
5570, -1.255, 7.113, -4.77, -0.009, -0.098, 0.036, 1
5590, -1.204, 7.128, -4.797, -0.028, -0.087, 0.005, 1
5610, -1.449, 7.341, -4.809, 0.01, -0.048, -0.054, 1
5630, -1.206, 7.394, -4.526, 0.086, 0.006, -0.096, 1
5650, -1.03, 7.452, -4.597, 0.192, -0.197, -0.183, 1
5670, -1.166, 7.109, -4.346, 0.257, -0.35, -0.196, 1
5690, -1.244, 6.779, -4.064, 0.148, -0.417, -0.188, 1
5710, -1.585, 6.886, -4.08, 0.012, -0.345, -0.218, 1
5730, -1.212, 6.928, -3.915, -0.017, -0.22, -0.274, 1
5750, -0.83, 7.008, -4.166, 0.029, -0.353, -0.32, 1
5770, -1.266, 7.042, -4.366, 0.127, -0.49, -0.32, 1
5790, -1.153, 6.354, -4.023, 0.201, -0.4, -0.27, 1
5810, -0.727, 6.172, -3.742, 0.041, -0.39, -0.31, 1
5830, -0.441, 6.122, -4.006, -0.154, -0.535, -0.32, 1
5850, 1.192, 5.784, -4.412, -0.129, -0.739, -0.174, 1
5870, 0.0, 6.253, -4.62, -0.22, -1.144, -0.061, 1
5890, -0.412, 5.95, -4.492, -0.12, -0.979, 0.039, 1
5910, -0.803, 5.711, -4.047, -0.137, -0.247, -0.061, 1
5930, -0.307, 5.707, -3.846, -0.152, 0.249, -0.031, 1
5950, -0.149, 4.0, -4.543, 0.13, 1.05, -0.2, 1
5970, 1.21, 5.073, -3.868, -0.167, -0.052, -0.081, 1
5990, -0.595, 5.746, -3.269, -0.296, -0.601, 0.07, 1
6010, -1.044, 5.522, -2.723, -0.237, -0.594, 0.102, 1
6030, -1.348, 5.356, -2.177, -0.367, -0.39, 0.108, 1
6050, -0.967, 5.077, -1.636, -0.518, -0.085, 0.249, 1
6070, -1.013, 4.596, -1.329, -0.668, 0.193, 0.401, 1
6090, -1.022, 4.43, -1.65, -0.739, 0.211, 0.169, 1
6110, -1.517, 5.009, -2.335, -0.602, 0.211, -0.072, 1
6130, -0.73, 4.866, -3.095, -0.262, 0.053, -0.05, 1
6150, -1.584, 5.391, -3.879, 0.084, 0.373, 0.16, 1
6170, -0.578, 4.457, -3.317, 0.274, 0.571, 0.233, 1
6190, -0.683, 4.069, -2.947, 0.167, 0.218, 0.117, 1
6210, -0.701, 4.892, -2.569, 0.067, 0.038, 0.352, 1
6230, -0.544, 4.432, -1.91, -0.035, 0.094, 0.612, 1
6250, -0.428, 3.843, -1.626, -0.214, 0.257, 0.774, 1
6270, -0.755, 4.352, -1.673, -0.35, 0.364, 1.005, 1
6290, 0.059, 4.455, -1.888, -0.33, 0.431, 0.696, 1
6310, -0.408, 4.402, -2.795, 0.01, 0.295, 0.354, 1
6330, -0.14, 4.374, -2.212, 0.155, 0.268, 0.087, 1
6350, -1.212, 4.079, -2.266, 0.177, 0.491, -0.153, 1
6370, -1.941, 3.402, -2.082, 0.129, 0.654, -0.389, 1
6390, -0.304, 5.342, -1.83, 0.264, 0.603, -0.201, 1
6410, 0.467, 3.968, -2.052, 0.208, 0.46, -0.212, 1
6430, -0.153, 4.131, -2.52, 0.167, 0.414, -0.253, 1
6450, -0.69, 4.573, -2.357, 0.009, 0.26, -0.291, 1
6470, 0.016, 4.051, -0.927, 0.081, 0.152, -0.501, 1
6490, 1.346, 4.781, -0.822, 0.196, 0.237, -0.348, 1
6510, 0.539, 3.9, -0.933, 0.182, 0.136, -0.45, 1
6530, -0.841, 5.141, -1.432, 0.059, -0.037, -0.381, 1
6550, -0.63, 4.811, -2.378, 0.273, 0.164, -0.463, 1
6570, 1.353, 4.224, -2.558, 0.287, 0.244, -0.624, 1
6590, 0.214, 3.414, -1.356, 0.086, -0.164, -0.142, 1
6610, -1.606, 3.344, -1.245, -0.003, -0.136, -0.031, 1
6630, -2.293, 3.096, -1.381, -0.126, 0.024, -0.019, 1
6650, -1.98, 2.725, -1.167, -0.103, 0.272, -0.05, 1
6670, -0.68, 2.502, -1.889, 0.114, 0.484, -0.124, 1
6690, 0.322, 2.83, -2.511, 0.298, 0.598, -0.239, 1
6710, 0.239, 2.899, -1.857, 0.337, 0.566, -0.194, 1
6730, -0.131, 2.331, -1.443, 0.284, 0.459, -0.095, 1
6750, -0.103, 1.696, -1.074, 0.174, 0.505, -0.04, 1
6770, 0.476, 1.81, -1.097, -0.027, 0.611, 0.037, 1
6790, 0.821, 2.089, -1.212, -0.108, 0.583, 0.055, 1
6810, 1.507, 2.504, -1.076, -0.202, 0.525, 0.063, 1
6830, 2.007, 2.453, -0.739, -0.238, 0.415, -0.001, 1
6850, 2.626, 1.722, -0.453, -0.368, 0.255, 0.237, 1
6870, 3.175, 1.837, -1.095, -0.544, -0.381, 0.769, 1
6890, 2.877, 1.555, -0.431, -0.733, -1.478, 0.8, 1
6910, -1.373, 1.121, -1.996, -0.14, -0.406, -0.056, 1
6930, -2.597, 3.795, -3.137, -0.097, 1.48, 0.4, 1
6950, 0.464, 2.767, -1.603, -0.274, 1.552, 0.941, 1
6970, 0.564, 1.777, -1.122, -0.686, 1.149, 1.034, 1
6990, 0.31, 2.44, -1.097, -0.732, 1.141, 1.325, 1
7010, 0.789, 2.021, -0.066, -0.855, 0.805, 1.334, 1
7030, -0.136, 2.186, -0.577, -0.594, 0.772, 1.25, 1
7050, -0.437, 2.38, -0.947, -0.345, 0.922, 1.332, 1
7070, -0.816, 2.047, -0.807, -0.374, 1.269, 1.346, 1
7090, -0.035, 1.41, -0.262, -0.592, 1.298, 1.371, 1
7110, 0.255, 1.554, -0.452, -0.648, 0.923, 1.197, 1
7130, 0.346, 1.379, -0.335, -0.513, 0.54, 1.081, 1
7150, -0.264, 1.714, -0.341, -0.374, 0.522, 1.224, 1
7170, -1.244, 1.639, -0.419, -0.241, 0.919, 1.318, 1
7190, -1.09, 1.236, 0.029, -0.293, 1.235, 1.249, 1
7210, -0.304, 1.156, 0.035, -0.378, 0.985, 1.125, 1
7230, 0.14, 1.546, -0.225, -0.317, 0.318, 1.029, 1
7250, -0.457, 1.687, -0.323, -0.145, -0.089, 1.077, 1
7270, -0.907, 1.768, -0.188, -0.042, -0.246, 0.981, 1
7290, -0.518, 1.385, 0.23, -0.093, -0.828, 0.707, 1
7310, 0.074, 1.19, 0.854, -0.037, -1.707, 0.613, 1
7330, 1.051, 0.405, 1.867, -0.308, -3.262, 0.353, 1
7350, 1.423, 0.488, 2.417, -0.521, -4.94, 0.175, 1
7370, 0.425, 1.221, 1.946, -0.272, -6.216, -0.046, 1
7390, 0.497, -0.117, 2.797, -0.212, -7.137, -0.694, 1
7410, 2.151, -0.145, 4.355, -0.424, -9.062, -0.704, 1
7430, 2.115, -0.061, 4.917, -0.872, -11.164, -0.437, 1
7450, 1.09, 1.402, 5.303, -1.501, -13.29, -0.59, 1
7470, -2.328, 6.372, 3.715, -1.775, -14.492, -0.846, 1
7490, -6.066, 2.072, -0.416, -1.003, -12.993, -1.175, 1
7510, -6.394, 1.78, -3.035, 0.189, -9.349, -1.598, 1
7530, -4.838, 1.613, -2.329, 1.193, -5.254, -1.839, 1
7550, -1.354, 0.461, -0.821, 1.305, -2.541, -1.72, 1
7570, -0.079, 0.619, -0.903, 0.989, -1.69, -1.547, 1
7590, -0.383, 1.017, -1.132, 0.867, -1.016, -1.279, 1
7610, 1.2, 0.529, -0.555, 0.853, -0.148, -0.656, 1
7630, 0.67, 0.488, -0.485, 0.604, 0.001, 0.128, 1
7650, -0.121, 0.646, -0.71, 0.298, 0.169, 0.548, 1
7670, -1.383, 1.397, -1.679, 0.148, 0.563, 0.43, 1
7690, -2.133, 1.914, -1.727, 0.343, 1.461, 0.235, 1
7710, -2.148, 2.082, -1.745, 0.569, 2.793, 0.13, 1
7730, -1.384, 2.71, -1.761, 0.953, 4.312, 0.16, 1
7750, -0.636, 2.416, -1.211, 1.373, 5.632, 0.446, 1
7770, -0.593, 2.075, -0.708, 1.37, 6.975, 0.766, 1
7790, -0.848, 5.015, 0.87, 1.053, 8.606, 0.953, 1
7810, 0.873, 4.177, 5.009, 0.415, 9.772, 0.382, 1
7830, -0.222, 2.213, 5.635, -0.69, 10.39, -0.607, 1
7850, 1.819, 2.273, 5.264, -0.601, 11.063, 0.9, 1
7870, 2.952, -1.478, 5.767, -1.032, 11.034, 1.963, 1
7890, 3.948, -2.58, 5.483, -1.865, 10.476, 2.344, 1
7910, 4.978, -0.836, 2.626, -2.079, 8.704, 2.38, 1
7930, 4.269, 1.033, -1.164, -1.205, 5.512, 1.346, 1
7950, 2.865, 1.042, -2.057, -0.377, 2.464, 0.811, 1
7970, 1.402, 0.78, -2.004, -0.195, 0.703, 0.814, 1
7990, -0.795, 0.202, -2.423, -0.445, 0.453, 0.895, 1
8015, -2.101, 0.435, -2.416, -0.756, 1.196, 1.055, 1
8035, -1.792, 0.243, -2.241, -1.343, 1.511, 1.292, 1
8055, -2.321, 1.292, -3.345, -1.538, 1.055, 1.106, 1
8075, -2.413, 0.983, -3.129, -1.354, 0.326, 0.844, 1
8095, -3.042, 0.985, -2.819, -1.06, 0.11, 0.756, 1
8115, -2.262, 0.169, -2.305, -0.828, 0.116, 0.639, 1
8135, -1.155, -0.104, -2.055, -0.579, -0.091, 0.485, 1
8155, -0.598, -0.013, -2.24, -0.232, -0.602, 0.389, 1
8175, -1.129, 0.112, -1.811, 0.084, -0.721, 0.381, 1
8195, -1.983, -0.466, -1.498, 0.37, -0.333, 0.323, 1
8215, -1.521, -0.792, -1.046, 0.441, -0.01, 0.163, 1
8235, -1.287, -0.732, -1.061, 0.34, -0.002, -0.028, 1
8255, -0.856, -0.28, -1.643, 0.33, -0.241, -0.183, 1
8275, -1.09, 0.085, -1.972, 0.39, -0.325, -0.339, 1
8295, -0.836, 0.06, -1.935, 0.356, -0.438, -0.499, 1
8315, -0.812, 0.222, -1.892, 0.321, -0.49, -0.651, 1
8335, -0.506, 0.194, -1.659, 0.271, -0.502, -0.74, 1
8355, 0.024, 0.252, -1.522, 0.207, -0.535, -0.844, 1
8375, -0.222, 1.054, -1.924, 0.337, -0.919, -1.13, 1
8395, -0.515, 0.977, -1.892, 0.591, -1.067, -1.232, 1
8415, -0.077, 0.509, -1.311, 0.753, -0.968, -1.244, 1
8435, 0.591, 0.114, -0.561, 0.682, -1.143, -1.262, 1
8455, 0.342, 0.148, -0.336, 0.477, -1.374, -1.342, 1
8475, 0.844, 0.262, 0.112, 0.293, -1.474, -1.5, 1
8495, 0.724, 0.295, 0.197, 0.175, -1.726, -1.662, 1
8515, 0.854, 0.202, 0.173, 0.125, -1.74, -1.773, 1
8535, 1.236, 0.176, 0.285, 0.02, -1.799, -1.901, 1
8555, 2.798, -0.01, 0.618, -0.13, -2.276, -1.961, 1
8575, 1.52, 0.498, 0.098, -0.388, -3.059, -1.762, 1
8595, 0.372, 0.644, -0.477, -0.319, -2.685, -1.373, 1
8615, 0.404, 0.447, -0.311, 0.011, -1.806, -1.318, 1
8635, 1.212, 0.486, 0.124, 0.356, -1.178, -1.391, 1
8655, 2.052, 0.464, 0.692, 0.633, -1.006, -1.456, 1
8675, 1.853, 0.246, 1.007, 0.656, -1.052, -1.328, 1
8695, 1.522, 0.082, 1.354, 0.313, -0.938, -1.127, 1
8715, 1.238, 0.509, 1.045, -0.053, -0.651, -0.907, 1
8735, 0.812, 0.745, 0.433, -0.087, -0.182, -0.691, 1
8755, 1.484, 0.847, 0.405, 0.073, -0.017, -0.64, 1
8775, 1.513, 0.523, 0.48, 0.169, -0.294, -0.649, 1
8795, 1.976, 0.238, 0.817, 0.04, -0.715, -0.505, 1
8815, 1.08, 0.411, 0.44, -0.213, -1.042, -0.295, 1
8835, 0.581, 0.891, -0.003, -0.153, -1.11, -0.477, 1
8855, 0.67, 0.967, -0.262, 0.058, -1.089, -0.478, 1
8875, 0.216, 0.899, -0.266, 0.195, -1.086, -0.5, 1
8895, -0.207, 0.796, -0.044, 0.21, -0.897, -0.561, 1
8915, -0.111, 0.677, 0.031, 0.087, -0.54, -0.332, 1
8935, -0.501, 0.656, 0.145, -0.075, -0.152, -0.195, 1
8955, 0.137, 1.005, 0.235, -0.08, -0.218, -0.178, 1
8975, 0.042, 1.289, -0.208, 0.161, -0.446, -0.254, 1
8995, -0.14, 1.237, -0.213, 0.359, -0.477, -0.288, 1
9015, -0.443, 0.939, -0.105, 0.255, -0.22, -0.194, 1
9035, -0.354, 1.016, 0.053, 0.122, 0.095, -0.081, 1
9055, -0.262, 1.322, 0.142, 0.081, 0.173, -0.047, 1
9075, 0.403, 1.464, 0.345, 0.132, -0.091, -0.072, 1
9095, 0.578, 1.409, 0.358, 0.061, -0.48, -0.113, 1
9115, 0.194, 1.677, 0.231, 0.056, -0.686, -0.089, 1
9135, -0.12, 1.729, -0.074, 0.058, -0.635, -0.051, 1
9155, -0.215, 1.766, 0.02, 0.019, -0.232, 0.081, 1
9175, 0.448, 1.729, 0.392, -0.067, -0.205, -0.007, 1
9195, 1.045, 1.952, 0.547, -0.138, -0.709, 0.003, 1
9215, 0.419, 2.25, 0.067, -0.023, -1.021, 0.006, 1
9235, -0.443, 2.281, -0.439, 0.156, -0.829, -0.139, 1
9255, -0.537, 2.316, -0.214, 0.307, -0.376, -0.059, 1
9275, -0.352, 1.935, 0.101, 0.245, 0.162, 0.076, 1
9295, 0.834, 1.626, 0.889, -0.059, 0.108, 0.171, 1
9315, 0.729, 2.203, 0.496, -0.216, -0.546, 0.095, 1
9335, -1.033, 2.898, -0.131, -0.009, -0.348, 0.071, 1
9355, -1.029, 2.307, 0.18, 0.225, 0.221, 0.07, 1
9375, -0.409, 1.92, 0.685, 0.077, 0.585, 0.066, 1
9395, -0.049, 2.025, 0.734, -0.244, 0.671, 0.153, 1
9415, 0.156, 2.3, 0.488, -0.337, 0.65, 0.169, 1
9435, 0.397, 2.372, 0.346, -0.202, 0.594, 0.166, 1
9455, -0.209, -0.555, -0.069, 0.164, 0.599, 0.053, 1
9475, -0.127, 2.082, 0.034, 0.174, 0.668, 0.235, 1
9495, -0.383, 2.391, 0.156, 0.219, 0.946, 0.392, 1
9515, -0.286, 1.308, 0.696, -0.022, 1.224, 0.417, 1
9535, -0.591, 2.587, 0.666, -0.318, 1.404, 0.397, 1
9555, -0.172, 0.985, 0.301, -0.167, 1.342, 0.229, 1
9575, 0.043, 1.163, 0.404, -0.238, 1.133, 0.291, 1
