timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
5330, 3.489, 5.944, -8.107, -0.083, 0.042, 0.058, 1
5350, 3.548, 5.95, -7.978, -0.086, 0.025, 0.057, 1
5370, 3.49, 5.907, -7.938, -0.084, 0.021, 0.061, 1
5390, 3.53, 5.9, -7.739, -0.093, 0.031, 0.063, 1
5410, 3.461, 5.853, -7.744, -0.097, 0.037, 0.064, 1
5430, 3.498, 5.865, -7.673, -0.075, 0.051, 0.058, 1
5450, 3.597, 5.855, -7.592, -0.097, 0.015, 0.074, 1
5470, 3.449, 5.873, -7.472, -0.091, 0.028, 0.061, 1
5490, 3.483, 5.793, -7.306, -0.087, 0.014, 0.045, 1
5510, 3.507, 5.78, -7.274, -0.096, 0.024, 0.041, 1
5530, 3.504, 5.776, -7.243, -0.088, 0.032, 0.063, 1
5550, 3.432, 5.77, -7.105, -0.086, 0.03, 0.065, 1
5570, 3.436, 5.743, -6.953, -0.102, 0.044, 0.049, 1
5590, 3.516, 5.675, -6.9, -0.104, 0.039, 0.043, 1
5610, 3.529, 5.674, -6.827, -0.107, 0.032, 0.058, 1
5630, 3.446, 5.615, -6.738, -0.105, 0.013, 0.065, 1
5650, 3.38, 5.671, -6.676, -0.102, 0.036, 0.054, 1
5670, 3.42, 5.619, -6.568, -0.09, 0.031, 0.044, 1
5690, 3.422, 5.596, -6.51, -0.092, 0.019, 0.052, 1
5710, 3.435, 5.542, -6.363, -0.101, 0.015, 0.061, 1
5730, 3.351, 5.506, -6.342, -0.116, 0.009, 0.068, 1
5750, 3.292, 5.417, -6.258, -0.135, 0.021, 0.048, 1
5770, 3.395, 5.542, -6.198, -0.172, 0.019, 0.014, 1
5790, 3.322, 5.441, -6.27, -0.184, -0.034, 0.007, 1
5810, 3.094, 5.778, -6.388, -0.177, -0.002, 0.009, 1
5830, 3.293, 5.541, -6.044, -0.124, 0.003, -0.001, 1
5850, 3.07, 5.59, -5.945, -0.146, -0.118, 0.003, 1
5870, 2.89, 5.5, -5.844, -0.138, -0.085, -0.026, 1
5890, 2.855, 5.458, -5.758, -0.142, -0.048, -0.086, 1
5910, 2.906, 5.464, -5.748, -0.136, -0.006, -0.149, 1
5930, 2.744, 5.48, -5.934, -0.125, 0.006, -0.186, 1
5950, 2.67, 5.665, -5.823, -0.105, -0.027, -0.221, 1
5970, 2.724, 5.556, -5.69, -0.073, -0.144, -0.263, 1
5990, 2.544, 5.429, -5.59, -0.094, -0.22, -0.301, 1
6010, 2.343, 5.485, -5.643, -0.146, -0.254, -0.337, 1
6030, 2.241, 5.647, -5.771, -0.211, -0.325, -0.383, 1
6050, 1.964, 5.898, -5.749, -0.191, -0.255, -0.484, 1
6070, 1.913, 6.196, -5.935, -0.059, -0.184, -0.517, 1
6090, 2.112, 6.047, -5.811, 0.045, -0.271, -0.52, 1
6110, 2.278, 5.885, -5.526, 0.028, -0.46, -0.505, 1
6130, 2.157, 5.909, -5.044, -0.029, -0.559, -0.528, 1
6150, 2.325, 5.884, -4.719, 0.018, -0.692, -0.558, 1
6170, 2.446, 5.279, -4.545, -0.032, -0.723, -0.598, 1
6190, 2.664, 5.155, -4.772, -0.099, -0.707, -0.518, 1
6210, 2.895, 4.782, -4.793, -0.183, -0.637, -0.373, 1
6230, 2.534, 4.909, -4.697, -0.215, -0.593, -0.207, 1
6250, 2.259, 5.026, -4.495, -0.213, -0.609, -0.188, 1
6270, 2.173, 4.795, -4.035, -0.249, -0.725, -0.307, 1
6290, 1.709, 4.647, -4.345, -0.248, -0.552, -0.455, 1
6310, 1.922, 4.304, -4.123, -0.219, -0.256, -0.456, 1
6330, 2.675, 3.84, -3.702, -0.43, -0.235, -0.378, 1
6350, 2.212, 4.046, -3.915, -0.703, -0.207, -0.266, 1
6370, 1.857, 4.383, -3.953, -0.789, -0.145, -0.268, 1
6390, 2.225, 4.057, -3.684, -0.775, -0.408, -0.365, 1
6410, 2.529, 4.587, -4.518, -0.455, -0.965, -0.196, 1
6430, 1.721, 4.292, -4.364, -0.215, -0.905, -0.022, 1
6450, 1.714, 4.287, -4.111, -0.094, -0.899, -0.043, 1
6470, 1.635, 4.352, -3.754, -0.045, -1.183, -0.081, 1
6490, 1.151, 4.406, -3.7, -0.042, -1.562, -0.056, 1
6510, 0.798, 4.63, -3.401, -0.017, -1.882, -0.072, 1
6530, 0.967, 5.109, -3.666, 0.098, -2.303, -0.107, 1
6550, 0.547, 4.438, -3.321, 0.111, -3.496, -0.431, 1
6570, -1.576, 4.697, -3.67, 0.174, -4.039, -0.723, 1
6590, -1.615, 4.496, -3.585, 0.351, -3.374, -0.786, 1
6610, -1.263, 4.24, -2.762, 0.43, -2.215, -0.747, 1
6630, 0.103, 4.236, -2.35, 0.395, -1.444, -0.734, 1
6650, 1.031, 3.902, -1.828, 0.248, -1.712, -0.956, 1
6670, 0.143, 4.172, -1.935, -0.025, -2.309, -1.139, 1
6690, -0.2, 4.539, -2.083, -0.04, -2.076, -1.065, 1
6710, -0.237, 4.346, -2.452, 0.076, -1.393, -0.86, 1
6730, 0.027, 4.134, -2.099, 0.087, -0.55, -0.681, 1
6750, 1.076, 3.867, -2.011, 0.029, -0.059, -0.588, 1
6770, 1.098, 4.005, -1.887, -0.103, -0.087, -0.576, 1
6790, 1.108, 4.28, -1.8, -0.144, -0.225, -0.474, 1
6810, -0.026, 3.846, -2.394, 0.025, -0.181, -0.257, 1
6830, -0.247, 3.204, -2.174, 0.039, 0.304, -0.068, 1
6850, -0.233, 3.369, -2.637, -0.242, 0.843, 0.034, 1
6870, -0.093, 3.824, -3.153, -0.546, 1.018, -0.06, 1
6890, 0.531, 4.145, -3.776, -0.711, 0.774, -0.184, 1
6910, 0.33, 4.239, -4.015, -0.72, 0.502, 0.067, 1
6930, 0.493, 4.075, -3.818, -0.884, 0.712, 0.427, 1
6950, 1.388, 4.349, -3.558, -1.083, 0.868, 0.846, 1
6970, 1.719, 4.853, -3.742, -1.245, 1.039, 1.29, 1
6990, 2.272, 5.357, -3.406, -1.325, 1.269, 1.635, 1
7010, 2.034, 5.941, -3.274, -0.927, 1.657, 1.808, 1
7030, 2.761, 5.555, -2.777, -0.442, 1.812, 2.087, 1
7050, 3.2, 5.053, -1.981, -0.331, 1.814, 2.405, 1
7070, 3.324, 4.448, -0.985, -0.541, 1.863, 2.772, 1
7090, 3.55, 3.872, -0.005, -0.973, 1.91, 3.23, 1
7110, 3.875, 3.349, 1.042, -1.627, 1.879, 3.637, 1
7130, 3.771, 3.095, 2.113, -2.308, 1.806, 4.034, 1
7150, 3.865, 2.73, 2.677, -2.852, 1.572, 4.448, 1
7170, 3.005, 2.443, 2.852, -3.247, 1.475, 4.802, 1
7190, 1.669, 2.746, 2.579, -3.486, 1.629, 4.949, 1
7210, -0.047, 2.534, 1.409, -3.244, 1.896, 4.399, 1
7230, 0.155, 0.947, 1.325, -2.772, 1.754, 3.776, 1
7250, 1.169, -0.559, 1.912, -2.483, 0.904, 3.392, 1
7270, 1.538, -1.048, 2.295, -2.398, -0.145, 3.183, 1
7290, 0.219, -1.648, 2.178, -2.439, -0.765, 3.195, 1
7310, -4.29, 1.554, -0.059, -2.51, -0.313, 3.3, 1
7330, -5.213, 1.571, -1.846, -2.214, 0.34, 2.944, 1
7350, -2.799, -0.533, -1.439, -1.708, -0.205, 2.211, 1
7370, -2.11, 0.201, -1.065, -0.7, -1.066, 1.75, 1
7390, -3.271, 2.348, -1.102, -0.045, -0.729, 1.648, 1
7410, -2.032, 1.407, -0.222, 0.16, -0.064, 1.315, 1
7430, 0.044, 1.061, 0.113, -0.127, 0.13, 0.805, 1
7450, 1.585, 2.397, -0.59, -0.685, -0.335, 0.702, 1
