timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
5788, 6.288, -10.384, -10.48, -0.109, -0.01, -0.072, 1
5808, 6.394, -10.401, -10.307, -0.14, -0.042, -0.083, 1
5828, 6.255, -10.298, -10.351, -0.177, -0.083, -0.087, 1
5848, 6.138, -10.059, -10.407, -0.138, 0.001, -0.114, 1
5868, 6.595, -10.35, -10.013, -0.045, 0.046, -0.158, 1
5888, 6.698, -10.58, -9.772, -0.054, -0.047, -0.152, 1
5908, 6.65, -10.523, -9.728, -0.111, -0.069, -0.124, 1
5928, 6.668, -10.446, -9.613, -0.167, -0.083, -0.112, 1
5948, 6.551, -10.388, -9.501, -0.186, -0.079, -0.129, 1
5968, 6.593, -10.408, -9.387, -0.223, -0.051, -0.142, 1
5988, 6.525, -10.358, -9.227, -0.295, -0.021, -0.136, 1
6008, 6.622, -10.563, -9.187, -0.325, -0.009, -0.121, 1
6028, 6.827, -10.836, -9.056, -0.383, -0.023, -0.113, 1
6048, 6.656, -10.728, -8.985, -0.515, -0.062, -0.084, 1
6068, 6.286, -10.58, -8.793, -0.619, 0.027, -0.057, 1
6088, 6.486, -10.648, -8.583, -0.711, 0.018, -0.058, 1
6108, 6.018, -10.076, -10.286, -0.466, 0.151, -0.093, 1
6128, 5.732, -9.45, -10.824, 0.189, 0.363, -0.275, 1
6148, 6.595, -11.136, -10.47, 0.248, 0.147, -0.244, 1
6168, 6.341, -9.66, -10.065, 0.073, -0.081, -0.293, 1
6188, 5.512, -7.893, -11.642, -0.026, -0.715, -0.102, 1
6208, 2.964, -6.5, -15.104, 1.696, -0.12, -0.642, 1
6228, 6.531, -11.356, -9.835, 1.599, -0.33, -0.788, 1
6248, 7.766, -13.559, -7.568, 0.48, -1.067, -0.618, 1
6268, 7.288, -13.31, -6.73, -0.257, -0.967, -0.598, 1
6288, 7.066, -12.513, -6.669, -0.491, -0.371, -0.422, 1
6308, 7.846, -12.79, -6.222, -0.608, 0.094, -0.309, 1
6328, 8.58, -13.023, -5.929, -0.818, 0.272, -0.27, 1
6348, 9.093, -12.648, -6.023, -0.915, 0.279, -0.252, 1
6368, 9.397, -12.785, -5.725, -0.974, 0.145, -0.189, 1
6388, 9.102, -12.327, -5.783, -1.144, 0.082, -0.075, 1
6408, 8.394, -11.625, -6.013, -1.422, 0.329, 0.111, 1
6428, 7.843, -10.608, -6.823, -1.69, 0.665, 0.337, 1
6448, 7.111, -9.661, -8.005, -1.702, 1.029, 0.362, 1
6468, 7.524, -9.784, -8.196, -1.569, 1.039, 0.239, 1
6488, 8.144, -9.682, -8.355, -1.624, 0.648, 0.287, 1
6508, 7.174, -8.53, -9.955, -1.82, 0.735, 0.439, 1
6528, 7.019, -7.459, -10.139, -1.817, 0.951, 0.324, 1
6548, 7.449, -7.446, -9.932, -1.71, 0.913, 0.245, 1
6568, 8.031, -7.386, -10.202, -1.463, 0.642, 0.231, 1
6588, 7.676, -6.966, -10.897, -1.168, 0.356, 0.26, 1
6608, 7.673, -6.689, -10.796, -0.812, 0.403, 0.236, 1
6628, 8.082, -6.922, -10.512, -0.583, 0.482, 0.192, 1
