timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
623816, 0.021, -0.461, -0.405, 0.225, 1.978, 0.394, 1
623836, -0.477, -0.038, -0.437, 0.195, 2.274, 0.283, 1
623856, -0.189, 0.365, -0.225, 0.27, 2.367, 0.312, 1
623876, -0.398, 0.656, 0.094, 0.457, 2.412, 0.409, 1
623896, -0.789, 0.38, -0.165, 0.777, 2.698, 0.564, 1
623916, -0.734, 1.16, 0.1, 1.092, 2.869, 0.411, 1
623936, -0.623, 0.893, 0.376, 1.755, 3.086, 0.168, 1
623956, 0.601, 0.367, -0.371, 2.051, 3.927, 0.322, 1
623976, 0.745, 0.998, -1.177, 1.952, 4.113, 0.395, 1
623996, 0.019, 1.874, -0.61, 1.972, 4.111, 0.218, 1
624016, -0.939, 1.213, -0.015, 2.229, 4.467, 0.005, 1
624036, -1.592, 4.238, -0.443, 2.642, 5.13, 0.012, 1
624056, -0.572, 4.771, -0.311, 2.924, 6.148, 0.426, 1
624076, 1.894, 5.234, 0.553, 3.097, 6.217, 0.247, 1
624096, 1.724, 5.227, -0.073, 3.089, 5.101, 0.013, 1
624116, 1.462, 3.981, -1.763, 2.905, 4.329, -0.069, 1
624136, 1.491, 3.513, -2.421, 2.094, 3.692, -0.503, 1
624156, 0.905, 3.394, -1.627, 1.135, 2.726, -0.794, 1
624176, -0.034, 3.96, -0.965, 0.53, 1.86, -0.73, 1
624196, -1.033, 4.216, -0.993, 0.388, 1.436, -0.454, 1
624216, -0.849, 3.782, -1.022, 0.419, 1.483, -0.288, 1
624236, 0.072, 3.34, -0.903, 0.372, 1.37, -0.254, 1
624256, 0.043, 3.27, -1.01, 0.208, 0.924, -0.246, 1
624276, 0.031, 3.053, -0.713, -0.023, 0.464, -0.109, 1
624296, -0.93, 3.609, -0.364, -0.128, 0.119, -0.075, 1
624316, -1.014, 3.471, -0.662, 0.132, 0.612, -0.08, 1
624336, -0.342, 3.327, -0.847, 0.192, 1.063, -0.039, 1
624356, 0.534, 2.764, -0.812, 0.117, 1.08, -0.01, 1
624376, 1.0, 2.692, -0.705, -0.14, 0.571, 0.051, 1
624396, 1.049, 1.912, -0.32, -0.518, -0.282, 0.058, 1
624416, 0.401, 4.403, 0.095, -1.032, -1.17, 0.025, 1
624436, -1.201, 4.248, -0.104, -0.684, -0.61, 0.069, 1
624456, -0.933, 3.923, -0.358, -0.311, 0.095, 0.179, 1
624476, 0.539, 3.396, -0.34, -0.304, 0.064, 0.259, 1
624496, 1.638, 3.087, -0.375, -0.601, -0.661, 0.308, 1
624516, 1.981, 3.186, -0.079, -1.075, -1.74, 0.251, 1
624536, 0.624, 4.752, 0.664, -1.121, -2.364, 0.106, 1
624556, -0.944, 4.349, 0.603, -1.063, -1.841, 0.272, 1
624576, -1.45, 6.362, 0.171, -0.326, -1.04, 0.285, 1
624596, -0.768, 5.788, -0.336, -0.179, -0.594, 0.511, 1
624616, 0.483, 4.491, -0.648, -0.4, -0.895, 0.688, 1
624636, 0.227, 5.594, -0.546, -0.723, -1.318, 0.421, 1
