timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
740997, 0.166, -0.281, -0.71, -0.372, -0.066, -0.153, 1
741017, 0.139, -0.199, -0.766, -0.444, -0.035, -0.156, 1
741037, 0.06, -0.091, -0.645, -0.441, 0.009, -0.156, 1
741057, 0.016, -0.106, -0.51, -0.419, 0.031, -0.136, 1
741077, 0.015, -0.183, -0.444, -0.43, 0.028, -0.119, 1
741097, -0.057, -0.194, -0.304, -0.442, 0.05, -0.105, 1
741117, -0.008, -0.123, -0.097, -0.441, 0.055, -0.08, 1
741137, -0.007, -0.143, 0.013, -0.434, 0.044, -0.069, 1
741157, -0.006, -0.149, 0.176, -0.422, 0.04, -0.073, 1
741177, 0.016, -0.19, 0.114, -0.398, 0.025, -0.082, 1
741197, 0.056, -0.21, 0.099, -0.381, -0.008, -0.086, 1
741217, -0.026, -0.245, 0.095, -0.408, -0.042, -0.111, 1
741237, -0.025, -0.049, 0.153, -0.414, -0.057, -0.127, 1
741257, -0.066, 0.0, 0.158, -0.378, -0.031, -0.135, 1
741277, -0.012, -0.091, 0.045, -0.352, -0.016, -0.131, 1
741297, -0.066, -0.19, -0.099, -0.384, 0.017, -0.147, 1
741317, -0.07, -0.173, -0.17, -0.428, 0.061, -0.151, 1
741337, -0.108, -0.216, -0.21, -0.488, 0.105, -0.125, 1
741357, -0.217, 0.017, -0.005, -0.421, 0.122, -0.058, 1
741377, -0.298, 0.094, 0.086, -0.311, 0.147, 0.03, 1
741397, -0.248, -0.056, 0.126, -0.278, 0.202, 0.082, 1
741417, -0.034, -0.031, 0.086, -0.357, 0.228, 0.118, 1
741437, -0.088, 0.138, 0.175, -0.416, 0.178, 0.169, 1
741457, -0.368, 0.276, 0.635, -0.251, 0.194, 0.288, 1
741477, 0.094, 0.132, 0.127, -0.199, 0.169, 0.156, 1
741497, 0.107, 0.017, -0.018, -0.16, 0.108, 0.224, 1
741517, 0.209, -0.048, -0.099, -0.134, 0.102, 0.187, 1
741537, 0.143, 0.014, -0.164, -0.136, 0.056, 0.171, 1
741557, 0.063, 0.117, -0.238, -0.134, 0.02, 0.16, 1
741577, 0.045, 0.095, -0.206, -0.107, 0.038, 0.199, 1
