timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
10754, -0.137, -0.057, 0.339, -0.13, 0.208, 0.161, 1
10774, -0.141, 0.091, 0.087, -0.195, 0.174, 0.159, 1
10794, -0.087, 0.024, -0.067, -0.15, 0.08, 0.105, 1
10814, -0.167, -0.021, -0.178, -0.079, 0.008, 0.087, 1
10834, -0.058, -0.151, -0.11, -0.045, 0.067, 0.078, 1
10854, 0.047, -0.107, -0.117, -0.07, 0.1, 0.09, 1
10874, 0.068, -0.054, -0.164, -0.059, 0.086, 0.091, 1
10894, -0.071, 0.072, -0.311, 0.004, -0.05, 0.095, 1
10914, -0.153, 0.027, -0.369, 0.075, -0.032, 0.061, 1
10934, 0.067, 0.165, -0.507, 0.275, -0.179, -0.015, 1
10954, -0.239, 0.211, -0.82, 0.611, -0.274, -0.02, 1
10974, -0.088, -0.09, -0.453, 0.679, -0.294, 0.01, 1
10994, -0.062, -0.448, -0.182, 0.51, -0.313, -0.002, 1
11014, 0.109, -0.596, -0.102, 0.204, -0.534, -0.077, 1
11034, 0.099, -0.349, -0.236, 0.015, -0.777, -0.111, 1
11054, -0.633, -0.012, -0.486, -0.016, -0.742, -0.07, 1
11074, -1.069, -0.084, -0.432, 0.05, -0.403, -0.22, 1
11094, -0.891, -0.271, -0.177, 0.034, -0.193, -0.4, 1
11114, -0.075, -0.308, 0.041, -0.001, -0.231, -0.357, 1
11134, 0.019, -0.26, -0.248, -0.01, -0.394, -0.341, 1
11154, -0.165, -0.142, -0.239, -0.008, -0.426, -0.421, 1
11174, -0.02, 0.0, -0.203, -0.01, -0.434, -0.412, 1
11194, -0.041, 0.038, -0.171, 0.025, -0.307, -0.418, 1
11214, 0.126, 0.011, -0.089, 0.029, -0.211, -0.444, 1
11234, 0.668, 0.441, -0.427, 0.179, -0.39, -0.487, 1
11254, 1.38, 0.322, -0.358, 0.28, -0.944, -0.537, 1
11274, 1.926, -0.078, -0.027, 0.089, -1.802, -0.471, 1
11294, 0.635, 0.184, -0.077, -0.073, -2.321, -0.557, 1
11314, 0.411, 0.613, -0.615, 0.017, -2.366, -0.493, 1
11334, 0.311, 0.996, -0.88, 0.42, -2.502, -0.636, 1
11354, 1.123, 0.264, -0.253, 0.454, -3.058, -0.646, 1
11374, 1.427, -0.314, 0.205, -0.052, -3.423, -0.309, 1
11394, -0.236, 0.252, 0.028, -0.18, -3.315, -0.296, 1
11414, 1.23, 0.473, 0.288, 0.067, -3.423, -0.522, 1
11434, 1.492, 0.448, 0.906, 0.134, -4.505, -0.858, 1
11454, 0.586, 0.905, 0.64, 0.118, -5.164, -0.689, 1
11474, 1.018, 0.791, 0.918, 0.102, -5.015, -0.245, 1
11494, 0.274, 2.249, 0.575, -0.207, -4.927, -0.035, 1
11514, 0.3, 4.01, 0.342, -0.202, -4.702, 0.033, 1
11534, -0.175, 5.824, 0.152, -0.107, -4.451, -0.063, 1
11554, 0.268, 6.756, 0.358, -0.05, -4.214, -0.076, 1
11574, 0.204, 6.895, 0.14, -0.15, -3.932, 0.051, 1
11594, 0.443, 5.335, 0.517, -0.302, -3.516, 0.25, 1
11614, -0.767, 4.979, -0.051, -0.613, -3.07, 0.402, 1
11634, -1.306, 4.493, -0.413, -0.53, -2.257, 0.249, 1
11654, -0.11, 4.208, -0.426, -0.272, -1.52, -0.02, 1
11674, -0.051, 3.53, -0.441, -0.199, -1.475, 0.079, 1
11694, -0.109, 3.309, -0.521, -0.159, -1.325, 0.138, 1
