timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
372956, 0.3, -0.014, -0.734, -0.029, -0.183, -0.562, 1
372976, 0.227, 0.025, -0.746, -0.084, -0.301, -0.661, 1
372996, -0.386, 0.249, -0.572, -0.093, -0.376, -0.701, 1
373016, -0.825, 0.248, -0.349, -0.004, -0.25, -0.629, 1
373036, -0.784, -0.234, -0.313, -0.064, 0.042, -0.51, 1
373056, -0.301, -0.208, -0.264, -0.145, -0.034, -0.453, 1
373076, -0.285, -0.161, 0.093, -0.168, -0.169, -0.428, 1
373096, -0.253, -0.119, 0.182, -0.134, -0.304, -0.431, 1
373116, -0.353, -0.19, 0.252, -0.095, -0.379, -0.401, 1
373136, -0.466, -0.458, 0.05, -0.089, -0.339, -0.362, 1
373156, -0.307, -0.426, -0.011, -0.116, -0.249, -0.304, 1
373176, -0.065, -0.293, 0.045, -0.092, -0.224, -0.221, 1
373196, 0.064, -0.16, -0.062, -0.021, -0.229, -0.191, 1
373216, 0.004, -0.201, -0.126, 0.018, -0.233, -0.157, 1
373236, 0.038, -0.332, -0.358, -0.068, -0.23, -0.124, 1
373256, 0.083, -0.146, -0.421, -0.138, -0.15, -0.104, 1
373276, 0.174, 0.03, -0.328, -0.134, -0.077, -0.067, 1
373296, 0.232, 0.213, -0.234, -0.084, -0.07, -0.036, 1
373316, 0.19, 0.047, -0.111, -0.057, -0.09, -0.011, 1
373336, 0.38, 0.003, -0.107, -0.1, -0.165, -0.009, 1
373356, 0.236, 0.025, -0.205, -0.139, -0.173, -0.02, 1
373376, 0.066, -0.041, -0.214, -0.171, -0.088, -0.018, 1
373396, 0.126, 0.025, -0.271, -0.18, -0.012, 0.012, 1
373416, 0.263, -0.043, -0.253, -0.137, -0.031, 0.022, 1
373436, 0.166, -0.175, -0.273, -0.162, -0.049, -0.012, 1
373456, -0.056, -0.087, -0.14, -0.249, -0.018, 0.036, 1
373476, -0.173, 0.008, 0.178, -0.251, 0.075, 0.098, 1
373496, 0.139, 0.015, 0.241, -0.153, 0.084, 0.138, 1
373516, 0.496, -0.196, 0.091, -0.138, -0.076, -0.003, 1
373536, 0.147, -0.062, -0.368, -0.145, -0.064, -0.053, 1
373556, 0.172, -0.145, -0.486, -0.12, -0.02, -0.016, 1
373576, 0.173, -0.181, -0.544, -0.152, 0.0, -0.014, 1
373596, 0.011, -0.279, -0.438, -0.196, 0.104, -0.098, 1
373616, 0.089, 0.001, -0.196, -0.251, 0.215, -0.1, 1
373636, 0.101, -0.092, -0.051, -0.173, 0.148, -0.064, 1
373656, 0.218, -0.288, -0.126, -0.127, 0.042, -0.096, 1
373676, 0.015, -0.21, -0.118, -0.162, -0.007, -0.117, 1
373696, 0.069, -0.059, 0.041, -0.204, 0.036, -0.094, 1
373716, 0.103, -0.014, 0.013, -0.241, 0.093, -0.13, 1
