timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
8835, -0.336996336996337, 0.15262515262515264, -1.3015873015873016, 1.125, -1.125, -1.25, 0.0
8836, -0.38583638583638585, 0.07814407814407814, -1.3846153846153846, 1.15625, -0.9375, -1.125, 0.0
8837, 0.3797313797313797, 0.08424908424908426, -1.7533577533577533, 0.96875, -0.9375, -1.03125, 0.0
1, 0.43833943833943834, 0.33943833943833945, -1.6642246642246643, 0.84375, -0.96875, -0.90625, 0.0
2, 0.3553113553113553, 0.3247863247863248, -1.6275946275946276, 0.5625, -0.9375, -0.6875, 0.0
3, 0.5225885225885226, 0.3199023199023199, -1.6117216117216118, 0.125, -0.84375, -0.375, 0.0
4, 0.047619047619047616, 0.5506715506715507, -1.5067155067155067, -0.1875, -0.40625, -0.0625, 0.0
5, -0.452991452991453, 1.3064713064713065, -0.49206349206349204, -0.25, 0.40625, 0.21875, 0.0
6, -0.2967032967032967, 2.012210012210012, 1.0, -0.125, 1.1875, 0.375, 0.0
7, 0.6324786324786325, 1.8632478632478633, 2.4053724053724053, -0.125, 1.25, 0.6875, 0.0
8, 3.173382173382173, 0.7826617826617827, 2.346764346764347, -0.4375, 0.71875, 0.71875, 0.0
9, 3.647130647130647, 1.0024420024420024, 2.1855921855921854, -0.59375, 0.15625, 0.40625, 0.0
10, 3.8864468864468864, 1.221001221001221, 1.9438339438339438, -0.53125, -0.28125, 0.21875, 0.0
11, 4.118437118437118, 0.9084249084249084, 1.347985347985348, -0.4375, -0.65625, 0.09375, 0.0
12, 4.562881562881563, -0.07692307692307693, 0.11721611721611722, -0.46875, -1.09375, -0.03125, 0.0
13, 4.117216117216117, -0.4725274725274725, -0.8913308913308914, -0.625, -1.40625, -0.15625, 0.0
14, 2.652014652014652, -0.35775335775335776, -1.1904761904761905, -0.65625, -1.21875, -0.1875, 0.0
15, 2.0476190476190474, -0.16361416361416362, -1.4346764346764347, -0.6875, -0.625, -0.1875, 0.0
16, 1.3174603174603174, 0.03663003663003663, -1.1746031746031746, -0.5, 0.0625, 0.0, 0.0
17, 1.442002442002442, -0.2698412698412698, -0.8302808302808303, -0.3125, 0.65625, 0.09375, 0.0
18, 1.5592185592185592, -0.44078144078144077, -0.48595848595848595, -0.3125, 0.875, 0.125, 0.0
19, 1.7191697191697193, -0.7045177045177046, -0.24786324786324787, -0.53125, 0.59375, 0.0, 0.0
20, 1.4273504273504274, -0.5702075702075702, -0.03663003663003663, -0.59375, 0.25, -0.09375, 0.0
21, 0.5836385836385837, -0.47741147741147744, -0.057387057387057384, -0.5625, 0.15625, -0.21875, 0.0
22, -0.20512820512820512, -0.34676434676434675, -0.0757020757020757, -0.5625, 0.28125, -0.25, 0.0
23, -0.6214896214896215, -0.41025641025641024, 0.028083028083028084, -0.625, 0.5, -0.1875, 0.0
24, -0.6556776556776557, -0.3431013431013431, 0.3076923076923077, -0.75, 0.5625, -0.15625, 0.0
25, -0.6703296703296703, -0.12087912087912088, 0.7741147741147741, -0.8125, 0.4375, -0.1875, 0.0
26, -1.0463980463980465, 0.21245421245421245, 1.2075702075702075, -0.6875, 0.3125, -0.25, 0.0
27, -1.242979242979243, 0.1746031746031746, 1.4639804639804639, -0.59375, 0.15625, -0.34375, 0.0
28, -1.0366300366300367, -0.27350427350427353, 1.0390720390720392, -0.65625, -0.375, -0.3125, 0.0
29, -1.916971916971917, 0.23809523809523808, 0.4139194139194139, -0.78125, -1.09375, -0.34375, 0.0
30, -3.3223443223443225, 0.5616605616605617, -0.20757020757020758, -0.6875, -1.34375, -0.15625, 0.0
31, -4.798534798534798, 0.6031746031746031, -1.1538461538461537, -0.53125, -0.90625, 0.28125, 0.0
32, -3.213675213675214, -0.5543345543345544, -0.7191697191697192, -0.4375, -0.46875, 0.6875, 0.0
33, -1.4090354090354091, -0.702075702075702, -0.0927960927960928, -0.5, -0.5, 0.8125, 0.0
34, -1.192918192918193, -0.938949938949939, 0.2844932844932845, -0.46875, -0.78125, 0.8125, 0.0
35, -1.5787545787545787, -0.960927960927961, 0.7667887667887668, -0.34375, -0.8125, 0.84375, 0.0
36, -0.9035409035409036, -1.448107448107448, 1.2332112332112333, -0.25, -0.5, 0.9375, 0.0
37, 0.26373626373626374, -1.4493284493284493, 1.7167277167277166, -0.34375, -0.4375, 1.0, 0.0
38, 1.706959706959707, -1.684981684981685, 1.9694749694749696, -0.4375, -0.6875, 0.875, 0.0
39, 1.1233211233211233, -0.9218559218559218, 2.0195360195360195, -0.46875, -1.1875, 0.5, 0.0
40, 0.1807081807081807, -0.3894993894993895, 1.873015873015873, -0.21875, -1.3125, 0.1875, 0.0
41, -0.3956043956043956, -0.1916971916971917, 1.4407814407814408, 0.09375, -1.21875, 0.21875, 0.0
42, -0.35775335775335776, 0.0, 1.017094017094017, 0.53125, -0.8125, 0.71875, 0.0
43, -0.4175824175824176, 0.3504273504273504, 0.6239316239316239, 0.96875, -0.25, 1.03125, 0.0
44, 0.08424908424908426, 0.16605616605616605, 0.0757020757020757, 1.3125, 0.3125, 1.34375, 0.0
45, 0.40415140415140416, 0.575091575091575, -0.5421245421245421, 1.71875, 1.09375, 1.84375, 0.0
46, 0.46886446886446886, 0.43345543345543347, -1.1074481074481075, 2.1875, 2.34375, 2.40625, 0.0
47, 1.0097680097680097, 0.009768009768009768, -0.9768009768009768, 2.59375, 3.78125, 2.9375, 0.0
48, 2.0354090354090353, -0.19413919413919414, -0.536019536019536, 3.03125, 5.09375, 3.40625, 0.0
49, 2.8766788766788767, -0.8302808302808303, 0.2893772893772894, 3.375, 6.3125, 3.84375, 0.0
50, 3.2356532356532357, -1.2576312576312576, 1.271062271062271, 3.59375, 7.28125, 4.0, 0.0
51, 2.5103785103785103, -0.2271062271062271, 2.244200244200244, 4.09375, 8.28125, 4.25, 0.0
52, 2.9743589743589745, -0.5103785103785103, 3.1807081807081805, 4.59375, 9.15625, 4.34375, 0.0
53, 5.495726495726496, -2.0525030525030523, 3.625152625152625, 4.625, 9.09375, 4.125, 0.0
54, 6.822954822954823, -2.905982905982906, 5.633699633699634, 4.40625, 7.875, 3.15625, 0.0
55, 6.819291819291819, -3.1452991452991452, 4.87057387057387, 4.40625, 6.71875, 2.40625, 0.0
56, 5.997557997557998, -3.559218559218559, 4.177045177045177, 4.3125, 5.40625, 1.625, 0.0
57, 4.0927960927960925, -3.8095238095238093, 3.7667887667887667, 4.1875, 4.3125, 1.125, 0.0
58, 2.9743589743589745, -3.8351648351648353, 3.485958485958486, 4.25, 3.625, 0.78125, 0.0
59, 1.7863247863247864, -3.7594627594627594, 2.9096459096459095, 4.40625, 3.09375, 0.65625, 0.0
60, 1.452991452991453, -3.937728937728938, 2.572649572649573, 4.65625, 2.65625, 0.5625, 0.0
61, 1.5702075702075702, -4.428571428571429, 2.0598290598290596, 4.8125, 2.09375, 0.4375, 0.0
62, 1.8021978021978022, -0.7448107448107448, -1.6251526251526252, 2.5, 6.09375, 1.71875, 0.0
63, 1.7118437118437118, -0.4249084249084249, -0.7533577533577533, 2.59375, 6.625, 1.4375, 0.0
64, -0.4432234432234432, 1.2808302808302807, 0.4627594627594628, 3.0625, 7.3125, 1.3125, 0.0
65, -1.5152625152625152, 1.5445665445665446, 1.452991452991453, 3.9375, 8.53125, 1.65625, 0.0
66, 0.5958485958485958, 0.7142857142857143, 1.6459096459096458, 4.40625, 9.25, 2.0, 0.0
67, 2.7313797313797314, 0.3882783882783883, 1.3199023199023199, 4.1875, 8.875, 1.75, 0.0
68, 3.244200244200244, 0.6825396825396826, 0.9963369963369964, 3.78125, 7.8125, 1.21875, 0.0
69, 2.641025641025641, 0.38583638583638585, 0.9548229548229549, 3.625, 6.84375, 0.6875, 0.0
70, 2.070818070818071, 0.14652014652014653, 1.1343101343101343, 3.65625, 6.1875, 0.40625, 0.0
71, 1.5360195360195361, 0.12942612942612944, 0.9181929181929182, 3.875, 5.59375, 0.25, 0.0
72, 1.9401709401709402, -0.7484737484737485, 0.36874236874236876, 4.125, 4.5, 0.125, 0.0
73, 1.0537240537240538, -1.6996336996336996, -0.2844932844932845, 4.125, 3.78125, 0.15625, 0.0
74, 0.6898656898656899, -2.15995115995116, -0.6678876678876678, 4.03125, 3.34375, 0.0625, 0.0
75, 0.8327228327228328, -2.6849816849816848, -0.7631257631257631, 3.8125, 2.84375, -0.0625, 0.0
76, 0.7728937728937729, -2.5763125763125765, -0.7948717948717948, 3.65625, 2.375, -0.15625, 0.0
77, 0.9841269841269841, -2.6324786324786325, -0.9010989010989011, 3.46875, 1.6875, -0.34375, 0.0
78, 0.6141636141636142, -2.6092796092796093, -1.1916971916971917, 3.1875, 0.96875, -0.46875, 0.0
79, 0.029304029304029304, -2.4346764346764345, -1.9352869352869353, 2.9375, 0.5, -0.625, 0.0
80, -0.9438339438339438, -2.84981684981685, -2.658119658119658, 2.5625, 0.40625, -0.875, 0.0
81, -1.205128205128205, -2.376068376068376, -2.78021978021978, 2.25, 0.375, -1.0625, 0.0
82, -1.3223443223443223, -1.1758241758241759, -2.503052503052503, 2.15625, 0.125, -0.90625, 0.0
83, -1.0866910866910866, -0.73992673992674, -2.8058608058608057, 2.125, -0.15625, -0.6875, 0.0
84, -1.4517704517704517, -1.376068376068376, -4.142857142857143, 1.84375, -0.4375, -0.78125, 0.0
85, -2.057387057387057, -0.8363858363858364, -4.622710622710622, 1.4375, -0.53125, -1.0, 0.0
86, -2.5128205128205128, -0.27472527472527475, -4.6642246642246645, 1.125, -0.5, -1.0, 0.0
87, -2.663003663003663, 0.1978021978021978, -4.589743589743589, 0.875, -0.46875, -0.78125, 0.0
88, -2.9279609279609278, 0.16727716727716727, -4.611721611721611, 0.71875, -0.4375, -0.46875, 0.0
