timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
294996, -4.878, 1.387, -2.304, 0.582, 0.596, -0.42, 1
295016, -3.487, 0.511, -2.33, 0.158, 0.109, -0.11, 1
295036, -2.925, 0.248, -2.275, -0.183, -0.222, -0.027, 1
295056, -3.058, 0.534, -2.086, -0.245, -0.054, 0.174, 1
295076, -2.174, 0.07, -1.552, -0.22, 0.248, 0.347, 1
295096, -0.365, -0.718, -0.981, -0.288, 0.237, 0.323, 1
295116, 0.662, -0.898, -0.607, -0.286, -0.001, 0.216, 1
295136, 0.76, -0.864, -0.507, -0.229, -0.127, 0.143, 1
295156, 0.36, -0.806, -0.414, -0.163, 0.012, 0.114, 1
295176, 0.305, -0.884, -0.223, -0.166, 0.227, 0.094, 1
295196, 0.573, -0.912, -0.074, -0.166, 0.303, -0.01, 1
295216, 0.419, -0.647, 0.094, -0.109, 0.255, -0.102, 1
295236, -0.014, -0.55, 0.471, -0.141, 0.196, -0.082, 1
295256, -0.347, -0.302, 0.582, -0.111, 0.111, -0.026, 1
295276, -0.32, -0.267, 0.409, -0.049, 0.075, -0.009, 1
295296, -0.418, -0.212, 0.09, 0.005, 0.091, 0.029, 1
295316, -0.267, -0.305, -0.286, 0.057, 0.108, 0.067, 1
295336, -0.215, -0.313, -0.466, 0.023, 0.075, 0.08, 1
295356, -0.174, -0.262, -0.561, -0.072, 0.072, 0.106, 1
295376, -0.113, -0.036, -0.472, -0.136, 0.13, 0.145, 1
295396, -0.015, -0.115, -0.499, -0.097, 0.186, 0.171, 1
295416, 0.024, -0.11, -0.429, -0.08, 0.259, 0.164, 1
295436, 0.112, -0.185, -0.282, -0.125, 0.205, 0.158, 1
295456, 0.008, -0.119, -0.272, -0.191, 0.131, 0.138, 1
295476, -0.081, -0.029, -0.136, -0.189, 0.149, 0.139, 1
295496, 0.029, -0.087, -0.079, -0.138, 0.193, 0.15, 1
295516, 0.004, -0.08, -0.041, -0.131, 0.193, 0.127, 1
295536, 0.023, -0.123, -0.063, -0.132, 0.183, 0.117, 1
295556, 0.086, -0.17, 0.002, -0.138, 0.149, 0.089, 1
295576, -0.033, -0.133, -0.005, -0.14, 0.08, 0.043, 1
295596, -0.059, -0.015, -0.034, -0.144, 0.059, 0.032, 1
295616, -0.173, 0.086, 0.014, -0.076, 0.087, 0.025, 1
295636, -0.091, 0.001, 0.055, -0.005, 0.13, 0.04, 1
295656, -0.015, -0.023, 0.045, -0.013, 0.108, 0.047, 1
295676, -0.028, 0.005, -0.042, -0.048, 0.034, 0.037, 1
295696, -0.269, 0.041, -0.167, -0.055, -0.041, 0.023, 1
295716, -0.466, 0.12, -0.205, -0.01, 0.032, 0.068, 1
295736, -0.205, 0.068, -0.243, 0.023, 0.078, 0.103, 1
295756, 0.073, -0.083, -0.379, -0.017, 0.027, 0.119, 1
295776, 0.142, -0.122, -0.467, -0.121, -0.058, 0.144, 1
295796, 0.008, -0.048, -0.455, -0.153, -0.084, 0.143, 1
295816, 0.008, -0.054, -0.483, -0.151, -0.028, 0.147, 1
295836, -0.024, -0.017, -0.355, -0.133, 0.063, 0.16, 1
295856, 0.054, -0.018, -0.123, -0.061, 0.115, 0.149, 1
295876, 0.425, -0.283, -0.056, -0.072, 0.023, 0.107, 1
295896, 0.349, -0.239, -0.028, -0.144, -0.091, 0.059, 1
295916, -0.011, -0.012, 0.001, -0.112, -0.032, 0.053, 1
295936, -0.065, 0.015, 0.118, -0.047, 0.075, 0.058, 1
295956, 0.005, -0.008, 0.184, -0.006, 0.096, 0.049, 1
295976, -0.026, -0.017, 0.205, 0.037, 0.089, 0.043, 1
295996, -0.024, -0.032, 0.197, 0.067, 0.07, 0.015, 1
296016, 0.001, -0.019, 0.031, 0.039, 0.024, 0.009, 1
296036, -0.05, 0.046, -0.064, 0.054, 0.023, 0.006, 1
296056, -0.099, 0.045, -0.19, 0.078, 0.075, 0.009, 1
296076, 0.011, 0.018, -0.338, 0.075, 0.091, 0.012, 1
296096, -0.007, -0.004, -0.405, 0.058, 0.089, 0.007, 1
296116, -0.028, -0.042, -0.482, 0.031, 0.105, 0.02, 1
296136, 0.034, -0.097, -0.502, -0.017, 0.089, 0.022, 1
296156, -0.042, -0.046, -0.441, -0.072, 0.082, 0.02, 1
296176, -0.105, 0.05, -0.293, -0.073, 0.115, 0.052, 1
296196, 0.015, -0.058, -0.256, -0.073, 0.104, 0.048, 1
296216, -0.025, -0.025, -0.127, -0.084, 0.081, 0.047, 1
296236, -0.024, -0.006, -0.068, -0.088, 0.091, 0.068, 1
296256, -0.01, -0.031, -0.021, -0.095, 0.1, 0.072, 1
296276, -0.016, -0.024, -0.031, -0.09, 0.101, 0.072, 1
296296, 0.004, -0.023, -0.024, -0.084, 0.087, 0.073, 1
296316, -0.011, -0.022, -0.033, -0.07, 0.038, 0.064, 1
296336, -0.132, -0.053, -0.138, -0.066, 0.01, 0.067, 1
296356, -0.301, -0.013, -0.302, -0.058, 0.044, 0.078, 1
