timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
8005, 2.6105006105006106, -1.8144078144078144, 0.0231990231990232, 0.34375, -2.9375, -1.0625, 0.0
8006, -0.27228327228327226, -1.5824175824175823, -0.6825396825396826, 0.21875, -4.0625, -1.8125, 0.0
8007, -3.0549450549450547, -0.6752136752136753, -1.5164835164835164, 0.15625, -3.90625, -2.03125, 0.0
1, -4.418803418803419, 0.20634920634920634, -2.070818070818071, 0.375, -2.75, -1.625, 0.0
2, -4.559218559218559, 0.7142857142857143, -2.3272283272283274, 0.625, -1.25, -0.4375, 0.0
3, -3.5763125763125765, 0.8217338217338217, -2.0305250305250304, 0.6875, 0.625, 0.28125, 0.0
4, -2.2454212454212454, 0.6324786324786325, -1.4456654456654456, 0.5625, 1.15625, 0.75, 0.0
5, -1.0622710622710623, 0.4053724053724054, -0.7997557997557998, 0.4375, 1.15625, 0.90625, 0.0
6, -0.30158730158730157, 0.525030525030525, -0.1330891330891331, 0.3125, 0.84375, 0.84375, 0.0
7, 0.08669108669108669, 0.6166056166056166, 0.3785103785103785, 0.1875, 0.375, 0.71875, 0.0
8, -0.1221001221001221, 0.7887667887667887, 0.5726495726495726, 0.125, 0.0, 0.6875, 0.0
9, -0.5177045177045178, 0.9987789987789988, 0.7838827838827839, 0.15625, -0.1875, 0.75, 0.0
10, -0.9352869352869353, 0.6923076923076923, 0.47496947496947495, 0.21875, -0.15625, 0.84375, 0.0
11, -0.8595848595848596, 0.514041514041514, 0.3894993894993895, 0.21875, 0.0, 0.90625, 0.0
12, -0.7094017094017094, 0.5934065934065934, 0.28815628815628813, 0.25, 0.125, 1.125, 0.0
13, -0.32234432234432236, 0.21733821733821734, 0.3528693528693529, 0.3125, 0.25, 1.34375, 0.0
14, 0.1746031746031746, -0.1562881562881563, -0.10134310134310134, 0.21875, 0.4375, 1.53125, 0.0
15, 0.5396825396825397, -0.612942612942613, 0.0, 0.15625, 0.59375, 1.53125, 0.0
16, 0.8644688644688645, -0.6776556776556777, 0.004884004884004884, 0.15625, 0.6875, 1.5625, 0.0
17, 1.164835164835165, -0.7863247863247863, -0.06593406593406594, 0.15625, 0.71875, 1.59375, 0.0
18, 1.4578754578754578, -1.0341880341880343, -0.18681318681318682, 0.15625, 0.6875, 1.53125, 0.0
19, 1.807081807081807, -1.0976800976800978, -0.1916971916971917, 0.15625, 0.59375, 1.375, 0.0
20, 1.8876678876678876, -1.0671550671550671, -0.23687423687423687, 0.125, 0.40625, 1.1875, 0.0
21, 1.8083028083028083, -0.9157509157509157, -0.1684981684981685, 0.125, 0.25, 0.96875, 0.0
22, 1.6556776556776556, -0.9755799755799756, -0.23443223443223443, 0.125, 0.125, 0.78125, 0.0
23, 1.5054945054945055, -0.9413919413919414, -0.28205128205128205, 0.0625, 0.09375, 0.59375, 0.0
24, 1.435897435897436, -0.6288156288156288, -0.17094017094017094, 0.0, 0.0625, 0.40625, 0.0
25, 1.2698412698412698, -0.3028083028083028, 0.0, 0.0, 0.0625, 0.25, 0.0
26, 1.1074481074481075, -0.1221001221001221, 0.10012210012210013, 0.0625, 0.0, 0.0625, 0.0
27, 0.9291819291819292, 0.02442002442002442, 0.10378510378510379, 0.09375, -0.03125, 0.0, 0.0
28, 0.6764346764346765, 0.14774114774114774, 0.14041514041514042, 0.09375, -0.09375, -0.125, 0.0
